id	file	line	kind	context	stated_status	severity	ledger_disposition	ledger_source
UNK-02	pickup-agent-frameworks.md	119	UNK	def				
UNK-02	pickup-agent-frameworks.md	119	UNK	def				
CLAIM-01	pickup-agent-frameworks.md	128	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-02	pickup-agent-frameworks.md	129	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-03	pickup-agent-frameworks.md	130	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-04	pickup-agent-frameworks.md	131	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-05	pickup-agent-frameworks.md	132	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-06	pickup-agent-frameworks.md	133	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-07	pickup-agent-frameworks.md	134	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-08	pickup-agent-frameworks.md	135	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-09	pickup-agent-frameworks.md	136	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-10	pickup-agent-frameworks.md	137	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-11	pickup-agent-frameworks.md	138	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-12	pickup-agent-frameworks.md	139	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-13	pickup-agent-frameworks.md	140	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-14	pickup-agent-frameworks.md	141	CLAIM	def	CONTESTED;Tier:T0;Conf:Medium			
CLAIM-15	pickup-agent-frameworks.md	142	CLAIM	def	CONTESTED;Tier:T2;Conf:Low			
CLAIM-14	pickup-agent-frameworks.md	144	CLAIM	ref				
GATE-005	pickup-agent-frameworks.md	172	GATE	ref	RETIRED			
GATE-005	pickup-agent-frameworks.md	173	GATE	ref				
GATE-005	pickup-agent-frameworks.md	176	GATE	ref				
GATE-004	pickup-agent-frameworks.md	198	GATE	ref	Decl:advisory;Decl:load-bearing			
GATE-005	pickup-agent-frameworks.md	199	GATE	ref	Decl:load-bearing			
GATE-007	pickup-agent-frameworks.md	200	GATE	ref	Decl:advisory			
GATE-010	pickup-agent-frameworks.md	201	GATE	ref	Decl:advisory;Decl:load-bearing			
GATE-011	pickup-agent-frameworks.md	202	GATE	ref	Decl:advisory			
GATE-014	pickup-agent-frameworks.md	203	GATE	ref	Decl:universal			
GATE-015	pickup-agent-frameworks.md	204	GATE	ref	Decl:universal			
GATE-016	pickup-agent-frameworks.md	205	GATE	ref	Decl:universal			
GATE-002	pickup-agent-frameworks.md	206	GATE	ref	Decl:advisory			
GATE-018	pickup-agent-frameworks.md	207	GATE	ref	Decl:load-bearing			
CLAIM-01	pickup-agent-frameworks.md	222	CLAIM	ref				
GATE-005	pickup-agent-frameworks.md	314	GATE	ref				
UNK-01	pickup-agent-frameworks.md	367	UNK	def				
UNK-02	pickup-agent-frameworks.md	374	UNK	def				
UNK-03	pickup-agent-frameworks.md	380	UNK	def	Disposition:TARGETED			
UNK-04	pickup-agent-frameworks.md	384	UNK	def				
UNK-05	pickup-agent-frameworks.md	390	UNK	def	Disposition:TARGETED			
UNK-4	pickup-agent-memory.md	30	UNK	ref				
REQ-1	pickup-agent-memory.md	42	REQ	def				
REQ-2	pickup-agent-memory.md	45	REQ	def				
REQ-3	pickup-agent-memory.md	47	REQ	def				
REQ-4	pickup-agent-memory.md	49	REQ	def				
REQ-5	pickup-agent-memory.md	52	REQ	def				
REQ-6	pickup-agent-memory.md	54	REQ	def				
REQ-CI-COST	pickup-agent-memory.md	57	REQ	def				
GATE-007	pickup-agent-memory.md	63	GATE	ref				
UNK-1	pickup-agent-memory.md	94	UNK	ref				
UNK-3	pickup-agent-memory.md	94	UNK	ref				
UNK-6	pickup-agent-memory.md	94	UNK	ref				
CLAIM-1	pickup-agent-memory.md	103	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-1b	pickup-agent-memory.md	104	CLAIM	def	ADMISSIBLE;Tier:T2;Conf:Medium			
CLAIM-2	pickup-agent-memory.md	105	CLAIM	def	ADMISSIBLE;Tier:T2;Conf:Medium			
CLAIM-3	pickup-agent-memory.md	106	CLAIM	def	CONTESTED;Tier:T0;Conf:Medium			
CLAIM-4	pickup-agent-memory.md	107	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-5	pickup-agent-memory.md	108	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-6	pickup-agent-memory.md	109	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-7	pickup-agent-memory.md	110	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-8	pickup-agent-memory.md	111	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-9	pickup-agent-memory.md	112	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-10	pickup-agent-memory.md	113	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-11	pickup-agent-memory.md	114	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-12	pickup-agent-memory.md	115	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-13	pickup-agent-memory.md	116	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-14	pickup-agent-memory.md	117	CLAIM	def	CONTESTED;Tier:T3;Conf:Low			
GATE-MEM-1	pickup-agent-memory.md	130	GATE	ref				
GATE-MEM-2	pickup-agent-memory.md	132	GATE	ref				
GATE-MEM-1	pickup-agent-memory.md	148	GATE	def				
GATE-MEM-2	pickup-agent-memory.md	152	GATE	def				
GATE-MEM-3	pickup-agent-memory.md	159	GATE	def				
GATE-MEM-4	pickup-agent-memory.md	162	GATE	def				
GATE-002	pickup-agent-memory.md	171	GATE	ref	Decl:load-bearing			
REQ-2	pickup-agent-memory.md	171	REQ	ref	Decl:load-bearing			
GATE-MEM-3	pickup-agent-memory.md	171	GATE	ref	Decl:load-bearing			
GATE-009	pickup-agent-memory.md	172	GATE	ref	Decl:load-bearing			
REQ-2	pickup-agent-memory.md	172	REQ	ref	Decl:load-bearing			
GATE-MEM-1	pickup-agent-memory.md	172	GATE	ref	Decl:load-bearing			
GATE-014	pickup-agent-memory.md	173	GATE	ref	Decl:universal			
REQ-4	pickup-agent-memory.md	173	REQ	ref	Decl:universal			
GATE-015	pickup-agent-memory.md	174	GATE	ref	Decl:universal			
GATE-016	pickup-agent-memory.md	175	GATE	ref	Decl:universal			
GATE-018	pickup-agent-memory.md	176	GATE	ref	Decl:universal			
GATE-MEM-2	pickup-agent-memory.md	176	GATE	ref	Decl:universal			
GATE-MEM-1	pickup-agent-memory.md	192	GATE	ref				
CLAIM-3	pickup-agent-memory.md	199	CLAIM	ref				
CLAIM-14	pickup-agent-memory.md	200	CLAIM	ref				
GATE-MEM-2	pickup-agent-memory.md	233	GATE	ref				
GATE-MEM-1	pickup-agent-memory.md	255	GATE	ref				
GATE-MEM-4	pickup-agent-memory.md	255	GATE	ref				
UNK-1	pickup-agent-memory.md	315	UNK	def	Disposition:TARGETED			
UNK-2	pickup-agent-memory.md	319	UNK	def	Disposition:TARGETED			
GATE-MEM-2	pickup-agent-memory.md	321	GATE	ref				
GATE-MEM-2	pickup-agent-memory.md	322	GATE	ref	Disposition:TARGETED			
GATE-MEM-2	pickup-agent-memory.md	322	GATE	ref	Disposition:TARGETED			
UNK-3	pickup-agent-memory.md	323	UNK	def	Disposition:TARGETED			
UNK-4	pickup-agent-memory.md	327	UNK	def	Disposition:RESOLVED			
UNK-5	pickup-agent-memory.md	331	UNK	def	Disposition:ADVISORY			
UNK-6	pickup-agent-memory.md	335	UNK	def	Disposition:TARGETED			
REQ-BU-1	pickup-browser-use.md	32	REQ	def				
REQ-BU-2	pickup-browser-use.md	35	REQ	def				
REQ-BU-3	pickup-browser-use.md	37	REQ	def				
REQ-BU-4	pickup-browser-use.md	40	REQ	def				
REQ-BU-7	pickup-browser-use.md	48	REQ	def				
REQ-BU-5	pickup-browser-use.md	60	REQ	def				
REQ-BU-6	pickup-browser-use.md	62	REQ	def				
REQ-CI-COST	pickup-browser-use.md	66	REQ	def				
GATE-007	pickup-browser-use.md	72	GATE	ref				
GATE-018	pickup-browser-use.md	101	GATE	ref				
UNK-BU-1	pickup-browser-use.md	112	UNK	ref				
UNK-BU-1	pickup-browser-use.md	115	UNK	ref				
UNK-BU-4	pickup-browser-use.md	117	UNK	ref				
CLAIM-BU-1	pickup-browser-use.md	128	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-2	pickup-browser-use.md	129	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-3	pickup-browser-use.md	130	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-4	pickup-browser-use.md	131	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-5	pickup-browser-use.md	132	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-6	pickup-browser-use.md	133	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-7	pickup-browser-use.md	134	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-8	pickup-browser-use.md	135	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-9	pickup-browser-use.md	136	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-10	pickup-browser-use.md	137	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-11	pickup-browser-use.md	138	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-12	pickup-browser-use.md	139	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-13	pickup-browser-use.md	140	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-BU-14	pickup-browser-use.md	141	CLAIM	def	Tier:T0			
UNK-BU-2	pickup-browser-use.md	146	UNK	ref	Decl:load-bearing			
GATE-BU-1	pickup-browser-use.md	163	GATE	def	RETIRED			
GATE-015	pickup-browser-use.md	163	GATE	ref	RETIRED			
GATE-015	pickup-browser-use.md	164	GATE	ref				
GATE-BU-2	pickup-browser-use.md	168	GATE	def	RETIRED			
GATE-014	pickup-browser-use.md	168	GATE	ref	RETIRED			
GATE-014	pickup-browser-use.md	169	GATE	ref				
GATE-BU-3	pickup-browser-use.md	173	GATE	def	RETIRED			
GATE-015	pickup-browser-use.md	173	GATE	ref	RETIRED			
GATE-015	pickup-browser-use.md	174	GATE	ref				
GATE-BU-4	pickup-browser-use.md	178	GATE	def	RETIRED			
GATE-018	pickup-browser-use.md	178	GATE	ref	RETIRED			
GATE-018	pickup-browser-use.md	178	GATE	ref	RETIRED			
CLAIM-BU-11	pickup-browser-use.md	184	CLAIM	ref				
GATE-002	pickup-browser-use.md	190	GATE	ref	Decl:advisory			
GATE-008	pickup-browser-use.md	190	GATE	ref	Decl:advisory			
GATE-005	pickup-browser-use.md	191	GATE	ref	Decl:advisory			
REQ-BU-5	pickup-browser-use.md	191	REQ	ref	Decl:advisory			
UNK-BU-1	pickup-browser-use.md	191	UNK	ref	Decl:advisory			
GATE-008	pickup-browser-use.md	192	GATE	ref	Decl:load-bearing			
REQ-BU-3	pickup-browser-use.md	192	REQ	ref	Decl:load-bearing			
GATE-BU-3	pickup-browser-use.md	192	GATE	ref	Decl:load-bearing			
GATE-014	pickup-browser-use.md	193	GATE	ref	Decl:universal			
REQ-BU-2	pickup-browser-use.md	193	REQ	ref	Decl:universal			
GATE-015	pickup-browser-use.md	194	GATE	ref	Decl:universal			
GATE-BU-1	pickup-browser-use.md	194	GATE	ref	Decl:universal			
GATE-016	pickup-browser-use.md	195	GATE	ref	Decl:universal			
REQ-BU-6	pickup-browser-use.md	195	REQ	ref	Decl:universal			
GATE-018	pickup-browser-use.md	196	GATE	ref	Decl:load-bearing			
GATE-BU-4	pickup-browser-use.md	196	GATE	ref	Decl:load-bearing			
CLAIM-BU-1	pickup-browser-use.md	204	CLAIM	ref				
GATE-018	pickup-browser-use.md	216	GATE	ref	Tier:T3			
GATE-BU-4	pickup-browser-use.md	216	GATE	ref	Tier:T3			
CLAIM-BU-10	pickup-browser-use.md	218	CLAIM	ref				
CLAIM-BU-11	pickup-browser-use.md	218	CLAIM	ref				
CLAIM-BU-14	pickup-browser-use.md	219	CLAIM	ref				
GATE-015	pickup-browser-use.md	304	GATE	ref				
GATE-015	pickup-browser-use.md	307	GATE	ref				
GATE-014	pickup-browser-use.md	319	GATE	ref				
GATE-018	pickup-browser-use.md	323	GATE	ref				
UNK-BU-1	pickup-browser-use.md	379	UNK	def				
UNK-BU-2	pickup-browser-use.md	386	UNK	def	Disposition:TARGETED			
UNK-BU-3	pickup-browser-use.md	393	UNK	def	Disposition:TARGETED			
CLAIM-BU-11	pickup-browser-use.md	394	CLAIM	ref				
GATE-018	pickup-browser-use.md	394	GATE	ref				
UNK-BU-4	pickup-browser-use.md	398	UNK	def	Disposition:TARGETED			
UNK-BU-5	pickup-browser-use.md	402	UNK	def	Disposition:TARGETED			
UNK-BU-6	pickup-browser-use.md	407	UNK	def	Disposition:ADVISORY			
UNK-BU-7	pickup-browser-use.md	412	UNK	def	Disposition:TARGETED			
REQ-01	pickup-computer-use.md	19	REQ	def				
REQ-02	pickup-computer-use.md	20	REQ	def				
REQ-03	pickup-computer-use.md	21	REQ	def				
REQ-04	pickup-computer-use.md	22	REQ	def				
CLAIM-09	pickup-computer-use.md	22	CLAIM	ref				
REQ-05	pickup-computer-use.md	23	REQ	def				
REQ-06	pickup-computer-use.md	24	REQ	def				
REQ-CI-COST	pickup-computer-use.md	26	REQ	def				
GATE-007	pickup-computer-use.md	32	GATE	ref				
UNK-01	pickup-computer-use.md	38	UNK	ref				
UNK-02	pickup-computer-use.md	39	UNK	ref				
UNK-03	pickup-computer-use.md	40	UNK	ref				
UNK-04	pickup-computer-use.md	43	UNK	ref				
UNK-05	pickup-computer-use.md	43	UNK	ref				
REQ-04	pickup-computer-use.md	45	REQ	ref	Tier:T2			
CLAIM-01	pickup-computer-use.md	53	CLAIM	def	ADMISSIBLE;Tier:T3;Conf:Low			
CLAIM-02	pickup-computer-use.md	54	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-03	pickup-computer-use.md	55	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-04	pickup-computer-use.md	56	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-05	pickup-computer-use.md	57	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-06	pickup-computer-use.md	58	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-07	pickup-computer-use.md	59	CLAIM	def	ADMISSIBLE;Tier:T3;Conf:Low			
CLAIM-08	pickup-computer-use.md	60	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-09	pickup-computer-use.md	61	CLAIM	def	ADMISSIBLE;Tier:T2;Conf:Medium			
CLAIM-10	pickup-computer-use.md	62	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-11	pickup-computer-use.md	63	CLAIM	def	ADMISSIBLE;Tier:T2;Conf:Medium			
UNK-06	pickup-computer-use.md	63	UNK	ref	ADMISSIBLE;Tier:T2;Conf:Medium			
CLAIM-12	pickup-computer-use.md	64	CLAIM	def	CONTESTED;Tier:T0;Conf:Medium			
CLAIM-13	pickup-computer-use.md	65	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-14	pickup-computer-use.md	66	CLAIM	def	Tier:T3			
CLAIM-07	pickup-computer-use.md	66	CLAIM	ref	Tier:T3			
GATE-CUA-01	pickup-computer-use.md	79	GATE	ref	Decl:advisory			
GATE-CUA-01	pickup-computer-use.md	91	GATE	def				
GATE-CUA-02	pickup-computer-use.md	92	GATE	def				
GATE-CUA-03	pickup-computer-use.md	93	GATE	def	RETIRED			
GATE-008	pickup-computer-use.md	93	GATE	ref	RETIRED			
GATE-008	pickup-computer-use.md	93	GATE	ref	RETIRED			
GATE-CUA-04	pickup-computer-use.md	94	GATE	def	RETIRED			
GATE-008	pickup-computer-use.md	94	GATE	ref	RETIRED			
GATE-008	pickup-computer-use.md	94	GATE	ref	RETIRED			
GATE-002	pickup-computer-use.md	100	GATE	ref	Decl:advisory			
REQ-01	pickup-computer-use.md	100	REQ	ref	Decl:advisory			
GATE-008	pickup-computer-use.md	101	GATE	ref	Decl:load-bearing			
REQ-03	pickup-computer-use.md	101	REQ	ref	Decl:load-bearing			
GATE-CUA-03	pickup-computer-use.md	101	GATE	ref	Decl:load-bearing			
GATE-014	pickup-computer-use.md	102	GATE	ref	Decl:universal			
GATE-015	pickup-computer-use.md	103	GATE	ref	Decl:universal			
GATE-016	pickup-computer-use.md	104	GATE	ref	Decl:universal			
GATE-018	pickup-computer-use.md	105	GATE	ref	Decl:load-bearing			
REQ-04	pickup-computer-use.md	123	REQ	ref				
GATE-008	pickup-computer-use.md	138	GATE	ref				
GATE-CUA-01	pickup-computer-use.md	138	GATE	ref				
GATE-008	pickup-computer-use.md	138	GATE	ref				
GATE-CUA-01	pickup-computer-use.md	144	GATE	ref				
GATE-CUA-01	pickup-computer-use.md	150	GATE	ref				
GATE-008	pickup-computer-use.md	151	GATE	ref				
UNK-01	pickup-computer-use.md	184	UNK	def	Disposition:TARGETED			
UNK-02	pickup-computer-use.md	186	UNK	def	Disposition:TARGETED			
UNK-03	pickup-computer-use.md	188	UNK	def	Disposition:TARGETED			
UNK-04	pickup-computer-use.md	190	UNK	def	Disposition:WATCH			
UNK-05	pickup-computer-use.md	192	UNK	def	Disposition:TARGETED			
UNK-06	pickup-computer-use.md	194	UNK	def	Disposition:TARGETED			
UNK-07	pickup-computer-use.md	196	UNK	def	Disposition:TARGETED			
REQ-EMB-001	pickup-embedding-serving.md	32	REQ	def				
REQ-EMB-002	pickup-embedding-serving.md	38	REQ	def				
REQ-EMB-003	pickup-embedding-serving.md	43	REQ	def				
REQ-EMB-004	pickup-embedding-serving.md	48	REQ	def				
REQ-EMB-005	pickup-embedding-serving.md	52	REQ	def				
REQ-EMB-006	pickup-embedding-serving.md	55	REQ	def				
REQ-CI-COST	pickup-embedding-serving.md	60	REQ	def				
GATE-007	pickup-embedding-serving.md	66	GATE	ref				
UNK-EMB-003	pickup-embedding-serving.md	87	UNK	ref				
UNK-EMB-002	pickup-embedding-serving.md	93	UNK	ref				
REQ-EMB-001	pickup-embedding-serving.md	93	REQ	ref				
REQ-EMB-003	pickup-embedding-serving.md	96	REQ	ref				
CLAIM-EMB-001	pickup-embedding-serving.md	106	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-002	pickup-embedding-serving.md	107	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-001	pickup-embedding-serving.md	107	CLAIM	ref	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-003	pickup-embedding-serving.md	108	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-004	pickup-embedding-serving.md	109	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-005	pickup-embedding-serving.md	110	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-006	pickup-embedding-serving.md	111	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-007	pickup-embedding-serving.md	112	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-008	pickup-embedding-serving.md	113	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-009	pickup-embedding-serving.md	114	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-010	pickup-embedding-serving.md	115	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-011	pickup-embedding-serving.md	116	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-012	pickup-embedding-serving.md	117	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB-013	pickup-embedding-serving.md	118	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EMB	pickup-embedding-serving.md	130	CLAIM	ref				
GATE-EMB-PARITY	pickup-embedding-serving.md	160	GATE	def				
GATE-EMB-REGISTRY	pickup-embedding-serving.md	166	GATE	def				
GATE-EMB-NETISOL	pickup-embedding-serving.md	171	GATE	def	RETIRED			
GATE-014	pickup-embedding-serving.md	171	GATE	ref	RETIRED			
GATE-014	pickup-embedding-serving.md	171	GATE	ref	RETIRED			
GATE-EMB-AA	pickup-embedding-serving.md	172	GATE	def				
UNK-EMB-005	pickup-embedding-serving.md	223	UNK	ref				
GATE-EMB-AA	pickup-embedding-serving.md	247	GATE	ref				
GATE-EMB-REGISTRY	pickup-embedding-serving.md	282	GATE	ref				
GATE-014	pickup-embedding-serving.md	288	GATE	ref				
GATE-EMB-PARITY	pickup-embedding-serving.md	292	GATE	ref				
GATE-EMB-REGISTRY	pickup-embedding-serving.md	292	GATE	ref				
GATE-014	pickup-embedding-serving.md	292	GATE	ref				
GATE-EMB-AA	pickup-embedding-serving.md	293	GATE	ref	Decl:load-bearing			
GATE-001	pickup-embedding-serving.md	300	GATE	ref	Decl:load-bearing			
GATE-002	pickup-embedding-serving.md	301	GATE	ref	Decl:load-bearing			
GATE-EMB-REGISTRY	pickup-embedding-serving.md	301	GATE	ref	Decl:load-bearing			
GATE-014	pickup-embedding-serving.md	302	GATE	ref	Decl:universal			
GATE-015	pickup-embedding-serving.md	303	GATE	ref	Decl:universal			
GATE-016	pickup-embedding-serving.md	304	GATE	ref	Decl:load-bearing			
GATE-018	pickup-embedding-serving.md	305	GATE	ref	Decl:advisory			
UNK-EMB-001	pickup-embedding-serving.md	344	UNK	def	Disposition:TARGETED			
UNK-EMB-002	pickup-embedding-serving.md	348	UNK	def	Disposition:RESOLVED			
REQ-EMB-001	pickup-embedding-serving.md	351	REQ	ref				
REQ-EMB-001	pickup-embedding-serving.md	352	REQ	ref	Disposition:RESOLVED			
REQ-EMB-003	pickup-embedding-serving.md	352	REQ	ref	Disposition:RESOLVED			
UNK-EMB-003	pickup-embedding-serving.md	353	UNK	def	Disposition:TARGETED			
UNK-EMB-004	pickup-embedding-serving.md	358	UNK	def	Disposition:TARGETED			
GATE-EMB-PARITY	pickup-embedding-serving.md	360	GATE	ref				
UNK-EMB-005	pickup-embedding-serving.md	363	UNK	def	Disposition:RESOLVED			
UNK-EMB-006	pickup-embedding-serving.md	367	UNK	def	Disposition:ADVISORY			
GATE-EH-2	pickup-eval-harnesses.md	36	GATE	ref				
REQ-EH-1	pickup-eval-harnesses.md	36	REQ	ref				
REQ-EH-2	pickup-eval-harnesses.md	37	REQ	ref				
REQ-EH-3	pickup-eval-harnesses.md	45	REQ	ref				
GATE-EH-4	pickup-eval-harnesses.md	47	GATE	ref				
REQ-EH-1	pickup-eval-harnesses.md	51	REQ	def				
REQ-EH-2	pickup-eval-harnesses.md	53	REQ	def				
REQ-EH-3	pickup-eval-harnesses.md	55	REQ	def				
REQ-EH-4	pickup-eval-harnesses.md	57	REQ	def				
REQ-EH-5	pickup-eval-harnesses.md	59	REQ	def				
REQ-EH-6	pickup-eval-harnesses.md	61	REQ	def				
REQ-CI-COST	pickup-eval-harnesses.md	64	REQ	def				
GATE-007	pickup-eval-harnesses.md	70	GATE	ref				
UNK-EH-07	pickup-eval-harnesses.md	113	UNK	def	Disposition:TARGETED			
UNK-EH-08	pickup-eval-harnesses.md	120	UNK	def	Disposition:TARGETED			
CLAIM-EH-01	pickup-eval-harnesses.md	134	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
CLAIM-EH-02	pickup-eval-harnesses.md	135	CLAIM	def	ADMISSIBLE;Tier:T0;Conf:High			
