# Revisit triggers from every packet (RULEBOOK.md §4.11), mapped to the FR-T.7 detector vocabulary. Generated by `node watch/freshness/revisit.mjs --tsv`; the reviewed_by column records who checked each mapping.
repo	n	text	detector	params	packet	reviewed_by
franken_agent_detection	6	a vendor ships a stable signed session-export API (the kill-test event — see Q8)	human		packets/franken_agent_detection-assessment.md#L201	FreshCore (unreviewed)
franken_alignment	1	G1 executes — one real brokered effect with a receipt-bound gate outsiders can inspect	human		packets/franken_alignment-assessment.md#L223	FreshCore (unreviewed)
franken_alignment	2	asupersync admission unblocks or the runtime commitment is formally re-scoped	human		packets/franken_alignment-assessment.md#L223	FreshCore (unreviewed)
franken_alignment	3	a second maintainer or institutional funder appears	human		packets/franken_alignment-assessment.md#L223	FreshCore (unreviewed)
franken_alignment	4	any H1–H21 hypothesis runs against a real model with published results (positive or negative)	human		packets/franken_alignment-assessment.md#L223	FreshCore (unreviewed)
franken_alignment	5	the rider is narrowed to training-incorporation only, reopening independent evaluation	license.text		packets/franken_alignment-assessment.md#L223	FreshCore (unreviewed)
franken_code_browser	1	first tagged release or published toolchain pin	human		packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_code_browser	2	first CI workflow executing on a third-party-visible runner	ci.class	to=C1|C2|C3	packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_code_browser	3	a `franken_macos` remote appearing with the native renderer auditable	human		packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_code_browser	4	a second human committer or an outside host embedding `fcb`	human		packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_code_browser	5	an independent benchmark of any kind — the 30 ms p95 warm-path search objective is the falsifiable one to watch	human		packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_code_browser	6	asupersync or FrankenSQLite appearing as a real Cargo edge	human		packets/franken_code_browser-assessment.md#L202	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	1	any push after 2026-09-04	human		packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	2	a retained full local-qualification receipt published	human		packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	3	`WP-018` closed or narrowed	human		packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	4	asupersync actually admitted as a dependency	dependency.edge	crates=asupersync	packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	5	an independent party wraps ODM/COLMAP with the admission audit and publishes rejection counts	human		packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_drone_geometry_reconstruction	6	any release tag	release.first		packets/franken_drone_geometry_reconstruction-assessment.md#L212	FreshCore (unreviewed)
franken_engine	1	`native-runtime.yml` green at a new pin, with `quality-gates.yml` and `perf_regression_gate.yml` showing runs — the Actions workflows page non-red *at the assessed commit*. Flips the "core lane never green" judgment	human		packets/franken_engine-assessment.md#L247	FreshCore (unreviewed)
franken_engine	2	Red-team v2 campaign executed and linked from the matrix — FE-CLAIM-011 leaves `target` with a current non-fixture campaign plus passing (or failing — a published loss counts) linked Rust verdict. Flips the containment thesis from specified to tested	human		packets/franken_engine-assessment.md#L248	FreshCore (unreviewed)
franken_engine	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. The advancement blocker for the Explore ceiling	human		packets/franken_engine-assessment.md#L249	FreshCore (unreviewed)
franken_engine	4	A tagged release or GitHub Release pointing at the assessed commit — `git for-each-ref refs/tags` / release list non-empty *at the assessed commit*. (v0.1.0 exists — released 2026-05-29 with `frankenctl` binaries — but targets the earlier tag commit `0a4e9db4`, so this stays open.) Flips the "no artifact to evaluate" judgment	human		packets/franken_engine-assessment.md#L250	FreshCore (unreviewed)
franken_engine	5	Second human committer with merge rights — bus factor > 1 observable on the contributor graph. Flips succession risk	contributors.second_human		packets/franken_engine-assessment.md#L251	FreshCore (unreviewed)
franken_engine	6	Abandonment tripwire — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact. The decay sensor the steelman's end state needs	human		packets/franken_engine-assessment.md#L252	FreshCore (unreviewed)
franken_engine	7	Independent execution of the 13 OBSERVED matrix rows published — any third party running the linked verification commands at a pinned commit. Flips "zero independent validation."	human		packets/franken_engine-assessment.md#L253	FreshCore (unreviewed)
franken_engine	8	A Deno/Node/SES release ships claim-gated documentation or signed decision receipts — the kill-test: if incumbents absorb the auditability story, FrankenEngine's differentiation collapses to "slower, but with a gate" [Inference, Medium]	human		packets/franken_engine-assessment.md#L254	FreshCore (unreviewed)
franken_engine	9	End-to-end capability-typed contract promoted to OBSERVED — FE-CLAIM-006's CEI-C.2 resolved with the compile-time TS-to-IR rejection over all ambient constructs. Flips the partial-membrane judgment	human		packets/franken_engine-assessment.md#L255	FreshCore (unreviewed)
franken_lean	1	first tagged release or installable toolchain artifact	human		packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_lean	2	CI green at a pin on the main gate	ci.class	to=C1	packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_lean	3	an external sealed-capsule verification published	human		packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_lean	4	a second maintainer or a contribution-policy change	human		packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_lean	5	an independent benchmark of any claimed slice	human		packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_lean	6	K2/NbE landing (the badge becoming true)	human		packets/franken_lean-assessment.md#L125	FreshCore (unreviewed)
franken_manim	1	first stable (non-pre-release) GitHub release	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	2	G4a or G4b gate closure	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	3	a published pinned-host performance measurement	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	4	a cross-platform bit-identity measurement	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	5	a contributions policy (or a second maintainer)	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	6	any independent benchmark, code review, or production deployment	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	7	any change to the license rider	license.text		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_manim	8	fmd-math adoption outside the FrankenSuite	human		packets/franken_manim-assessment.md#L202	FreshCore (unreviewed)
franken_markdown	1	first published head-to-head benchmark vs pulldown-cmark/comrak (moves "ultra-fast" from claim 3's *aspirational* to *demonstrated*; prerequisite for any TRL bump)	human		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown	2	npm 0.4.5+ shipping in sync with GitHub releases (closes weakness 6; signals the release pipeline is real)	human		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown	3	a second human maintainer with merge rights (bus factor 1→2; raises Collaboration potential)	contributors.second_human		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown	4	any independent review, benchmark, or production deployment (the zero that keeps the ring at Explore — this alone could justify Pilot)	human		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown	5	the iOS app surfacing publicly (unlocks Q3's option value)	human		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown	6	any change to the license rider (directly moves Impact potential and Collaboration)	license.text		packets/franken_markdown-assessment.md#L192	FreshCore (unreviewed)
franken_markdown_website	1	A `.github/workflows` directory appears — the manual-only finding flips; re-audit what the automation actually runs	ci.class	to=C1|C2|C3	packets/franken_markdown_website-assessment.md#L223	FreshCore (unreviewed)
franken_markdown_website	2	The Lab Notes strip matches the wired wasm version — the drift class is being managed; check whether by generation or by hand	human		packets/franken_markdown_website-assessment.md#L224	FreshCore (unreviewed)
franken_markdown_website	3	Production's "Renderer vX" matches the repo's wired version — the deploy-lag finding closes	human		packets/franken_markdown_website-assessment.md#L225	FreshCore (unreviewed)
franken_markdown_website	4	Wasm trees pruned, or a pruning policy / version manifest documented — the dead-weight and dual-0.3.5 findings close	human		packets/franken_markdown_website-assessment.md#L226	FreshCore (unreviewed)
franken_markdown_website	5	Rider narrowed or removed — LICENSE diff; flips the agent-collaborator exclusion (relevant because the page courts agents)	human		packets/franken_markdown_website-assessment.md#L227	FreshCore (unreviewed)
franken_markdown_website	6	Contributions policy changes — README "About Contributions" amended; flips bus-factor-1 governance	human		packets/franken_markdown_website-assessment.md#L228	FreshCore (unreviewed)
franken_markdown_website	7	Site archived or domain lapsed — re-ring to retired artifact; the patterns remain the export	human		packets/franken_markdown_website-assessment.md#L229	FreshCore (unreviewed)
franken_native_capsule	1	A LICENSE file appears at root — the license-API field flips from `None` to a detected license. Flips the "no grant text" judgment	license.text		packets/franken_native_capsule-assessment.md#L230	FreshCore (unreviewed)
franken_native_capsule	2	NRP/RCO v1 lands — the validator admits a non-frozen payload class, or the api crate's schema versions advance past v0. Flips the "generality of zero" judgment	human		packets/franken_native_capsule-assessment.md#L231	FreshCore (unreviewed)
franken_native_capsule	3	Issuer signature verifier and/or durable nonce store land — the README's missing-controls list shrinks. Flips the security-posture judgment	human		packets/franken_native_capsule-assessment.md#L232	FreshCore (unreviewed)
franken_native_capsule	4	FrankenEngine depends on it — `franken_engine`'s manifests reference `frankenengine-native-capsule`. Flips the "no trustor" judgment	human		packets/franken_native_capsule-assessment.md#L233	FreshCore (unreviewed)
franken_native_capsule	5	CI appears — a `.github/workflows` directory with executing workflows. Flips the "no verifiable process" judgment	ci.class	to=C1|C2|C3	packets/franken_native_capsule-assessment.md#L234	FreshCore (unreviewed)
franken_native_capsule	6	Second human committer — bus factor > 1 on the contributor graph. Flips succession risk	contributors.second_human		packets/franken_native_capsule-assessment.md#L235	FreshCore (unreviewed)
franken_native_capsule	7	A second platform adapter lands (Windows/macOS/ARM) — the platform story moves past one OS/arch	human		packets/franken_native_capsule-assessment.md#L236	FreshCore (unreviewed)
franken_native_capsule	8	Abandonment tripwire — no commits for 60 days (last commit 2026-08-20; last push 2026-09-17 moved no branch): re-ring to Monitor and treat the tree as a retired artifact	human		packets/franken_native_capsule-assessment.md#L237	FreshCore (unreviewed)
franken_networkx	1	first independent benchmark reproducing any Gauntlet row	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	2	a second maintainer with merge rights	contributors.second_human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	3	PyPI serving the current GitHub release (distribution hygiene)	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	4	the claim-coverage attested fraction crossing 25%	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	5	any production deployment disclosed	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	6	rider removal or narrowing	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_networkx	7	a NetworkX minor/major release that breaks the 3.6.1-pinned parity surface	human		packets/franken_networkx-assessment.md#L264	FreshCore (unreviewed)
franken_nlp	1	first clean-SHA DSR `PASS` receipt for `scripts/check.sh` on a named `production` graph	human		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_nlp	2	first model-present parity run (any L-gate green against the pinned oracle)	human		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_nlp	3	first git tag / GitHub release	release.first		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_nlp	4	`check_claims.py --check` green on the tree	human		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_nlp	5	a second human committer or a stated succession plan	human		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_nlp	6	any independent third-party execution (build, benchmark, or review) of the tree	human		packets/franken_nlp-assessment.md#L239	FreshCore (unreviewed)
franken_node	1	L1 product oracle goes GREEN — `artifacts/oracle/l1_product_verdict.json` reads GREEN (corpus ≥95%). Flips the "not shippable by its own gate" judgment	human		packets/franken_node-assessment.md#L255	FreshCore (unreviewed)
franken_node	2	A tagged release or GitHub Release pointing at the assessed commit appears — `git for-each-ref refs/tags` / `gh release list` non-empty *at the assessed commit*. (v0.1.0 exists — released 2026-05-29 with binary assets — but targets the earlier tag commit `08e1edf11`, so this stays open.) Flips the "no artifact to evaluate" judgment	human		packets/franken_node-assessment.md#L256	FreshCore (unreviewed)
franken_node	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. This is the advancement blocker for the Explore ceiling	human		packets/franken_node-assessment.md#L257	FreshCore (unreviewed)
franken_node	4	Second human committer with merge rights — bus factor > 1 observable on the contributor graph. Flips succession risk	contributors.second_human		packets/franken_node-assessment.md#L258	FreshCore (unreviewed)
franken_node	5	The `asupersync-transport` feature compiles in CI — any workflow building `--features asupersync-transport` or running `asupersync_control_lane_integration`. Flips claim 13 from partially demonstrated to demonstrated	human		packets/franken_node-assessment.md#L259	FreshCore (unreviewed)
franken_node	6	Independent benchmark, review, or production user — any third party evaluating or deploying it. Flips "zero independent coverage."	human		packets/franken_node-assessment.md#L260	FreshCore (unreviewed)
franken_node	7	(Abandonment tripwire) — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact	human		packets/franken_node-assessment.md#L261	FreshCore (unreviewed)
franken_node	8	A Node/Deno/Bun release ships a trust-operations equivalent (revocation-first execution, per-extension trust cards, replayable incident bundles) — the kill-test: if incumbents absorb the trust story, franken_node's differentiation collapses to "evidence governance, but not a runtime" [Inference, Medium]	human		packets/franken_node-assessment.md#L262	FreshCore (unreviewed)
franken_numpy	1	A PyPI release appears — `pip index versions frankennumpy` non-empty with wheels for at least Linux/macOS. Flips the "no distributable Python artifact" judgment	human		packets/franken_numpy-assessment.md#L248	FreshCore (unreviewed)
franken_numpy	2	KEEP-claim audit crosses 80% contract-grade — `docs/KEEP_CLAIM_INCUMBENT_COVERAGE.md` re-run showing ≥600/751 with same-invocation incumbent ratios. Flips the benchmark pillar from map-of-kernels to results	human		packets/franken_numpy-assessment.md#L249	FreshCore (unreviewed)
franken_numpy	3	Rider narrowed or removed — LICENSE diff dropping the named-party restriction. Flips usability for restricted parties and contributor-pool risk. The advancement blocker for the Explore ceiling	human		packets/franken_numpy-assessment.md#L250	FreshCore (unreviewed)
franken_numpy	4	Second human committer with merge rights — bus factor > 1 on the contributor graph. Flips succession risk	contributors.second_human		packets/franken_numpy-assessment.md#L251	FreshCore (unreviewed)
franken_numpy	5	G1–G9 green at a new pin — the Actions run for the assessed commit shows all gates executed and passed. Flips the red-pin judgment (the current failure is a lint gate, so this is the cheapest trigger on the board)	human		packets/franken_numpy-assessment.md#L252	FreshCore (unreviewed)
franken_numpy	6	Independent benchmark or review published — any third party reproducing or contesting the numbers. Flips "zero independent coverage."	human		packets/franken_numpy-assessment.md#L253	FreshCore (unreviewed)
franken_numpy	7	`fnp-conformance` published on crates.io and adopted externally — the methodology-export trigger; flips "repo-local tooling."	human		packets/franken_numpy-assessment.md#L254	FreshCore (unreviewed)
franken_numpy	8	NumPy ships a memory-safe core or hardened-parser program — the kill-test-adjacent competitor move: if the incumbent absorbs the safety narrative, the differentiation collapses to "Rust-embeddable NumPy semantics," and the Rust-embeddable story has to carry the whole pitch alone [Inference, Medium]	human		packets/franken_numpy-assessment.md#L255	FreshCore (unreviewed)
franken_numpy	9	Abandonment tripwire — no commits for 60 days or the CI workflows disabled/archived: re-ring to Monitor and treat the tree as a retired artifact. The decay sensor the steelman's end state needs	human		packets/franken_numpy-assessment.md#L256	FreshCore (unreviewed)
franken_ocr	1	CI workflows restored to the tree with green runs	ci.class	to=C1	packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	2	first release cut after v0.9.0	human		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	3	any independent benchmark, code review, or production deployment	human		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	4	a second human contributor (requires a policy reversal)	contributors.second_human		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	5	any change to the license rider	license.text		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	6	the crates.io 404 resolving or the crate being pulled	human		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_ocr	7	int4 graduating or being killed in the ledger	human		packets/franken_ocr-assessment.md#L215	FreshCore (unreviewed)
franken_overlap	1	first checked-in evidence run with claim verdicts — re-ring candidate	human		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_overlap	2	PAN13 PlagDet score published — first external validation	human		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_overlap	3	first tagged release — Pilot prerequisite	release.first		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_overlap	4	GitHub Actions re-enabled or a public CI signal — restores the [CI-observed] tier	human		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_overlap	5	second human committer — bus-factor repair	contributors.second_human		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_overlap	6	90 more days of silence with no commits — decay confirmation, consider Monitor	human		packets/franken_overlap-assessment.md#L209	FreshCore (unreviewed)
franken_remote	1	first retained, reproducible end-to-end media loop with latency numbers	human		packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_remote	2	first live Tailscale session test against the §19 threat model	human		packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_remote	3	CI green at a new pin on `rust-verification.yml`	ci.class	to=C1	packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_remote	4	a tagged release or second maintainer	human		packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_remote	5	any license-rider change	license.text		packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_remote	6	Tailscale shipping or announcing a native desktop product (the kill-test event)	human		packets/franken_remote-assessment.md#L233	FreshCore (unreviewed)
franken_snowflake	1	the `cli-live-e2e-and-receipts` bead closes with published credentialed-run artifacts	human		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_snowflake	2	the empirical jsonv2 live golden lands	human		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_snowflake	3	any independent benchmark, code review, or production deployment	human		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_snowflake	4	a second human maintainer or a change to the no-contributions policy	human		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_snowflake	5	any change to the license rider	license.text		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_snowflake	6	the asupersync 0.5 migration completing or stalling	human		packets/franken_snowflake-assessment.md#L206	FreshCore (unreviewed)
franken_surveillance_system	1	first published DSR/local-qualification receipt naming the pin and toolchain	human		packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_surveillance_system	2	a CI run concluding `success` (hosted or self-hosted) with public logs	human		packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_surveillance_system	3	asupersync appearing in `Cargo.lock`	dependency.edge	crates=asupersync	packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_surveillance_system	4	a qualified real-camera recording run with retained evidence	human		packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_surveillance_system	5	a second human committer	contributors.second_human		packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_surveillance_system	6	an independent (permitted-party) deployment or review. Any one of these would change the ring assessment	human		packets/franken_surveillance_system-assessment.md#L218	FreshCore (unreviewed)
franken_threed	1	first measured frame-time number (any sign) on a real device	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	2	a second kernel class passing the differential gate	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	3	any kill-gate bead recording a PASS/FAIL decision (all 12 are open at the pin)	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	4	a tagged release	release.first		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	5	a second maintainer or CONTRIBUTING	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	6	the asupersync fresh browser run landing (or the row being removed)	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_threed	7	independent coverage (third-party benchmark, fork with activity, or published review)	human		packets/franken_threed-assessment.md#L227	FreshCore (unreviewed)
franken_tts	1	DISC-003 closed with a published listening evaluation	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	2	a learned drafter clearing the NE-003 break-even thresholds (p*≈94–95%, alpha_full*≈40–46%)	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	3	any independent benchmark, listening test, or code review	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	4	the WASM path crossing 1.0× sustained	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	5	a second human maintainer or any softening of the no-merge policy	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	6	any change to the license rider	license.text		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_tts	7	a Qwen3-TTS successor model appearing	human		packets/franken_tts-assessment.md#L206	FreshCore (unreviewed)
franken_whisper	1	a HEAD-current tagged release	human		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	2	CI configuration appearing in-tree with a legible conformance gate	ci.class	to=C1|C2|C3	packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	3	any independent benchmark, code review, or production deployment	human		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	4	Sortformer certification on a public corpus	human		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	5	a second human maintainer with merge rights	contributors.second_human		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	6	the wasm32 native-engine target building	human		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
franken_whisper	7	any change to the license rider	license.text		packets/franken_whisper-assessment.md#L212	FreshCore (unreviewed)
frankenfs	1	main CI workflow green at HEAD for a sustained window (not one run)	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	2	a second tagged GitHub release that covers the btrfs durability work	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	3	any independent benchmark, security audit, or production/forensic deployment	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	4	a second human with merge rights (or any softening of the no-contributions policy)	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	5	any change to the license rider	license.text		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	6	the `bd-wh1xk`/`bd-lc132` open beads closing (full parity execution binding)	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankenfs	7	xfstests results published as a lane, not a hope	human		packets/frankenfs-assessment.md#L198	FreshCore (unreviewed)
frankengit	1	first tagged GitHub release	release.first		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	2	smart-HTTP or production SSH landing as a verified lane	human		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	3	a second human maintainer with merge rights	contributors.second_human		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	4	any independent benchmark, security audit, or production deployment	human		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	5	Asupersync 0.4.x constellation convergence unlocking the gateway/projection/TUI stack	human		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	6	any change to the license rider	license.text		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengit	7	a refreshed dated reality snapshot	human		packets/frankengit-assessment.md#L194	FreshCore (unreviewed)
frankengraphdb	1	first tagged release or installable artifact	human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
frankengraphdb	2	G1 gate crossed per §19 with the pinned evidence	human		packets/frankengraphdb-assessment.md#L213	FreshCore (unreviewed)
