id	practice	what_to_copy	areas	evidenced_in	source	source_quote	checklist	our_status	our_proof
RP-023	Deterministic scripted model and tool doubles shipped as a test API	Ship fake models (and fake sandboxes and transports) that replay a scripted trajectory and that downstream users can import, so agent loops are tested with no network and no keys; one fake per scenario.	agent-frameworks;eval-harnesses;guardrails;structured-output;voice-agents;sandbox-exec;web-search-apis	openai/openai-agents-python;huggingface/smolagents;langchain-ai/langgraph;UKGovernmentBEIS/inspect_ai;EleutherAI/lm-evaluation-harness;guardrails-ai/guardrails;guidance-ai/guidance;livekit/agents;vercel/sandbox;tavily-ai/tavily-python	ecosystem/pickup/_evidence/agent-frameworks.md:19	Copy: make the fake model part of the SDK so downstream users can test agents deterministically too.	none	not-applicable	This repository makes no model or tool calls.
RP-024	Strict scripted contract: unexpected or unconsumed steps fail	Make drift between the test script and the actual trajectory a hard error in both directions: a call the script did not define, and a scripted step the run never used.	agent-frameworks	openai/openai-agents-python	ecosystem/pickup/_evidence/agent-frameworks.md:22	turn drift between test script and agent trajectory into hard failures, not silent pass-throughs	none	not-applicable	No scripted doubles here.
RP-025	Assert retry and backoff with scripted failure sequences	Drive the client with a side-effect sequence (error, error, success) and assert the retry and backoff behaviour directly.	agent-frameworks	huggingface/smolagents	ecosystem/pickup/_evidence/agent-frameworks.md:24	Copy: assert retry/backoff behavior via side-effect sequences.	none	not-applicable	No retrying client code.
RP-026	Record and replay external calls (VCR cassettes)	Record LLM and HTTP interactions once and replay them in CI so unit tests are hermetic, cheap, and deterministic.	guardrails;rag-frameworks;observability	NVIDIA-NeMo/Guardrails;langchain-ai/langchain;traceloop/openllmetry;lmnr-ai/lmnr-python	ecosystem/pickup/_evidence/guardrails.md:32	Copy: record once, replay in CI	none	not-applicable	The gates make no network calls to record.
RP-027	Local deterministic test server or reference fixture instead of the live service	Ship a local test server, or one kitchen-sink reference implementation, as the fixture every spec runs against, so core tests never depend on the live web.	browser-use;mcp;voice-agents;workflow-orchestrators	microsoft/playwright-mcp;modelcontextprotocol/servers;modelcontextprotocol/inspector;livekit/agents;inngest/inngest;cadence-workflow/cadence	ecosystem/pickup/_evidence/browser-use.md:20	no external-network dependency for core specs	none	adopted	site/scripts/verify-site.sh; site/BUILD-GATES.md; commit 07b681b; Gate I renders every page from file:// with no server and no network
RP-028	Snapshot and byte-exact tests of full outputs	Snapshot complete agent state, stream output, grammar text, or split text (or byte-compare shipped copies against the canonical ones) so unintended changes fail loudly.	agent-frameworks;rag-frameworks;structured-output;eval-harnesses	langchain-ai/langgraph;Azure-Samples/azure-search-openai-demo;ggml-org/llama.cpp;harbor-framework/harbor	ecosystem/pickup/_evidence/agent-frameworks.md:25	Copy: snapshot full agent state/stream output to catch unintended trajectory changes.	none	adopted	site/scripts/verify-site.sh; site/BUILD-GATES.md; commit 07b681b; Gate A byte-compares every shipped packet and the Rulebook with the canonical copy
RP-029	Pinned baseline scores and golden numbers with an explicit tolerance	Assert results against a pinned reference number (score, loss curve, tensor, retrieval metric) with a stated tolerance, one-sided where only regressions matter, and keep the ground truth checked in.	embedding-serving;quantization;fine-tuning;inference-engines;rag-frameworks	vllm-project/vllm;AutoGPTQ/AutoGPTQ;meta-pytorch/torchtune;sgl-project/sglang;HKUDS/LightRAG;Azure-Samples/azure-search-openai-demo	ecosystem/pickup/_evidence/embedding-serving.md:21	One-sided assert: you only fail if	A2	not-applicable	No numeric outputs of its own; Gate B recomputes the site statistics from data.js instead.
RP-030	One conformance suite run against every backend or adapter	Write the behaviour contract once and run the same suite over every backend, provider adapter, or bundled environment in CI, instead of ad hoc per-backend tests.	agent-frameworks;structured-output;rl-envs;agent-memory	langchain-ai/langgraph;dottxt-ai/outlines;vllm-project/vllm;Farama-Foundation/Gymnasium;Farama-Foundation/PettingZoo;mem0ai/mem0	ecosystem/pickup/_evidence/agent-frameworks.md:26	needs a backend-agnostic conformance harness, not per-backend ad-hoc tests	A2	not-applicable	No backends.
RP-031	Official protocol conformance harness, pinned, separate from unit tests	Adopt the protocol owner's conformance kit rather than hand-rolling protocol checks; pin its version in the workflow and keep it in its own job or repository.	mcp;multi-agent-protocols	modelcontextprotocol/python-sdk;modelcontextprotocol/typescript-sdk;modelcontextprotocol/conformance;a2aproject/a2a-go;a2aproject/a2a-tck	ecosystem/pickup/_evidence/mcp.md:20	For a clean-room project: adopt the harness itself rather than hand-rolling protocol checks.	A2	not-applicable	No protocol implementation.
RP-032	Named expected-failure baselines instead of silent skips	List known-failing scenarios in a reviewed file, or as tests that must flip when fixed, so admitting a failure is explicit and a fix cannot go unnoticed.	mcp;multi-agent-protocols;structured-output	modelcontextprotocol/python-sdk;a2aproject/a2a-js;guidance-ai/guidance	ecosystem/pickup/_evidence/mcp.md:21	Copy: named-baseline > silent skips.	B9	not-applicable	No gate carries a known failure; every gate in verify.yml is hard.
RP-033	Test every shipped spec revision and keep backward-compat fixtures	Run conformance against each wire or spec version you still ship, and keep versioned fixtures (serialized agents, older-spec clients) so vN keeps working with vN-1.	mcp;multi-agent-protocols;agent-frameworks	modelcontextprotocol/python-sdk;a2aproject/a2a-python;a2aproject/a2a-go;huggingface/smolagents	ecosystem/pickup/_evidence/mcp.md:22	when the protocol versions its wire, test every shipped wire, not just latest	none	not-applicable	No versioned wire format.
RP-034	Same behaviour tested on every binding, transport, runtime and language	When a protocol or SDK has several bindings (JSON-RPC, gRPC, REST; Node, Deno, Bun; Python, Go, Java), test the same behaviours on each, with a named interop workflow and checked-in wire fixtures.	multi-agent-protocols;web-search-apis;vector-dbs;voice-agents	a2aproject/a2a-go;a2aproject/a2a-python;agent-network-protocol/anp;firecrawl/firecrawl;milvus-io/milvus;openai/openai-agents-js	ecosystem/pickup/_evidence/multi-agent-protocols.md:24	test the same behaviors on every binding, not just one	none	not-applicable	One binding: static HTML.
RP-035	Differential tests against an independent implementation or validator	Compare outputs with a second implementation or a ground-truth validator on a shared corpus (HF transformers, a sibling SDK, Pydantic, the vendored incumbent) and treat divergence as the bug signal.	inference-engines;multi-agent-protocols;structured-output;sandbox-exec;quantization;frankensuite	vllm-project/vllm;ggml-org/llama.cpp;a2aproject/a2a-js;a2aproject/a2a-python;mlc-ai/xgrammar;e2b-dev/E2B;Dicklesworthstone/frankenredis;Dicklesworthstone/franken_threed;Dicklesworthstone/franken_numpy	ecosystem/pickup/_evidence/inference-engines.md:22	Correctness via differential tests against HF transformers (perplexity/parity).	A2	not-applicable	Nothing here reimplements an incumbent; the corpus assesses others.
RP-036	Unit-test the metrics, scorers and objective math themselves	Test scorers, metrics, reward shaping, KL estimators, and loss aggregation as library code with fixture data, and make any shipped eval API run in the project's own CI.	eval-harnesses;rag-frameworks;agent-frameworks;rl-envs	UKGovernmentBEIS/inspect_ai;EleutherAI/lm-evaluation-harness;run-llama/llama_index;deepset-ai/haystack;vibrantlabsai/ragas;confident-ai/deepeval;stanfordnlp/dspy;OpenRLHF/OpenRLHF;huggingface/trl	ecosystem/pickup/_evidence/rl-envs.md:18	Copy: gradient/shape-level tests for KL estimators, reward shaping, and loss aggregation	none	not-applicable	No metric code.
RP-037	Adversarial tests of your own grader, plus judge calibration sets	Test that the grader cannot be fooled (spoofed PASS lines, truncated ids, skipped tests) and give any LLM judge its own labelled false-positive and false-negative calibration set, versioned apart from the attack corpus.	eval-harnesses;guardrails	SWE-bench/SWE-bench;centerforaisafety/HarmBench;microsoft/PyRIT	ecosystem/pickup/_evidence/eval-harnesses.md:29	This is the single most copy-worthy practice: adversarial tests of your own scoring.	B14	candidate	Gate K3 checks that each source line contains its quote; a planted-bad TSV fixture that K3 must reject is not yet part of the gate chain.
RP-038	Deterministic, model-free checker kept apart from generation	Keep the code that decides PASS or FAIL importable and testable without any model, in a module separate from response handling or attack generation; prefer pinned tests in pinned containers over LLM judgment.	eval-harnesses;guardrails	SWE-bench/SWE-bench;ShishirPatil/gorilla;NVIDIA/garak	ecosystem/pickup/_evidence/eval-harnesses.md:32	Copy: the part that decides PASS/FAIL should be importable and testable without any model.	none	adopted	site/scripts/verify-site.sh; every gate is a deterministic script and no model call decides a PASS
RP-039	Score the observable end state, not the agent's report	Grade the resulting VM, repository, or rendered UI state (tests pass, spans render as a complete trace) rather than the transcript or an HTTP 200.	computer-use;observability;eval-harnesses	xlang-ai/OSWorld;comet-ml/opik;Arize-ai/phoenix;SWE-bench/SWE-bench	ecosystem/pickup/_evidence/computer-use.md:22	State-based evaluation (score VM state, not chat)	none	adopted	site/scripts/verify-site.sh; commit 07b681b; Gate I loads each page in headless Chrome and fails on console errors or horizontal overflow
RP-040	Explicit FAIL action for infeasible tasks	Give infeasible tasks a defined correct answer (declare FAIL) so refusal is neither rewarded everywhere nor punished where it is right.	computer-use	xlang-ai/OSWorld	ecosystem/pickup/_evidence/computer-use.md:24	prevents reward-hacking by refusal	A9	not-applicable	No agent tasks are graded here.
RP-041	Declarative task specs with LLM-judge criteria and a model matrix in config	Write agent tasks as data (task, judge criteria, step budget), declare the model matrix in config, and run them as a reliability tier separate from unit tests.	browser-use;agent-frameworks;voice-agents	browser-use/browser-use;stanfordnlp/dspy;livekit/agents;pipecat-ai/pipecat;saharmor/voice-lab	ecosystem/pickup/_evidence/agent-frameworks.md:27	declare the model matrix in config, not code	none	not-applicable	No agent tasks.
RP-042	Virtual clock and time skipping in tests	Run timing-dependent logic (timers, turn-taking, workflow sleeps) against a mocked clock that the test advances, so assertions never depend on wall time.	workflow-orchestrators;voice-agents;frankensuite	temporalio/sdk-go;temporalio/sdk-java;temporalio/sdk-typescript;temporalio/temporal;cadence-workflow/cadence-go-client;livekit/agents;Dicklesworthstone/frankengraphdb	ecosystem/pickup/_evidence/voice-agents.md:22	fake clock so turn-taking/latency assertions	none	not-applicable	No timing logic.
RP-043	Deadlock detection: a workflow that blocks is a failure	Put a deadlock-detection timeout on workflow coroutines so code that fails to yield fails the test instead of hanging it.	workflow-orchestrators	temporalio/sdk-go	ecosystem/pickup/_evidence/workflow-orchestrators.md:30	Deadlock detection for workflow coroutines (workflow code must yield; blocks are failures)	none	not-applicable	No concurrent workflow code.
RP-044	Replay recorded histories, including a deliberately nondeterministic fixture	Replay stored event histories (and agent-workflow histories) through the current code to catch nondeterminism, keep one fixture that must fail replay, and unit-test the journal itself as the durability primitive.	workflow-orchestrators;browser-use	temporalio/sdk-python;cadence-workflow/cadence-go-client;temporalio/temporal;restatedev/restate;triggerdotdev/trigger.dev;browser-use/browser-use	ecosystem/pickup/_evidence/workflow-orchestrators.md:28	a deliberately nondeterministic fixture exists	none	not-applicable	No stateful workflows.
RP-045	Fault injection and network degradation in tests	Inject faults (toxiproxy latency and drops, torn writes, cluster poisoning, noise and accent perturbations) through a harness, not by hand, and assert recovery.	workflow-orchestrators;voice-agents;frankensuite	temporalio/temporal;cadence-workflow/cadence;livekit/agents;ServiceNow/eva;Dicklesworthstone/frankengraphdb	ecosystem/pickup/_evidence/workflow-orchestrators.md:32	Fault-injection / cluster-poisoning / simulation harness for the engine itself	none	not-applicable	No runtime to fault.
RP-046	Stress, soak and load suites separate from functional tests	Keep long-running stress, soak, pressure, and ingestion-load suites in their own tier with named workload shapes, off the PR critical path.	vector-dbs;sandbox-exec;structured-output;observability	chroma-core/chroma;qdrant/qdrant;kata-containers/kata-containers;mlc-ai/xgrammar;comet-ml/opik	ecosystem/pickup/_evidence/vector-dbs.md:28	Stress / soak suites separate from unit tests	none	not-applicable	Static site; no load to test.
RP-047	Determinism and seeding assertions at every level	Assert same seed gives the same trajectory at unit, checker, and vectorized levels, and requalify golden hashes across machines and build profiles.	rl-envs;fine-tuning;frankensuite	Farama-Foundation/Gymnasium;Farama-Foundation/PettingZoo;meta-pytorch/torchtune;Dicklesworthstone/frankensim;Dicklesworthstone/frankentui;Dicklesworthstone/frankensqlite	ecosystem/pickup/_evidence/rl-envs.md:17	Copy: same seed -> same trajectory assertions at unit, checker, and vector levels.	none	not-applicable	No stochastic code; build reproducibility is covered by the regenerate-and-diff row.
RP-048	Standard benchmark harness in the repo, next to the code it measures	Ship the throughput, latency, and quality harness in-tree (or in the library), with shared dataset configs and real workload shapes, not ad hoc scripts.	inference-engines;vector-dbs;computer-use;quantization;agent-memory;rag-frameworks;browser-use;guardrails	vllm-project/vllm;sgl-project/sglang;InternLM/lmdeploy;huggingface/text-generation-inference;NVIDIA/TensorRT-LLM;ggml-org/llama.cpp;chroma-core/chroma;weaviate/weaviate;vespa-engine/vespa;trycua/cua;AutoGPTQ/AutoGPTQ;getzep/zep;mem0ai/memory-benchmarks;run-llama/llama_index;browserbase/stagehand;protectai/llm-guard	ecosystem/pickup/_evidence/inference-engines.md:18	Standardized serving benchmark harness (throughput/latency scripts, shared dataset registry).	none	not-applicable	No performance claims of its own.
RP-049	Benchmarks unit-tested like code	Test the benchmark CLI, timing functions, and parity between benchmark implementations so a broken harness cannot report a number.	inference-engines	vllm-project/vllm;sgl-project/sglang	ecosystem/pickup/_evidence/inference-engines.md:19	Benchmarks are unit-tested like code.	none	not-applicable	No benchmark harness.
RP-050	Performance regression as its own CI track, A/B against a baseline	Run perf tests in a dedicated pipeline separate from correctness CI, as paired A/B comparisons against the baseline on PRs or nightly, with results kept as artifacts.	inference-engines;sandbox-exec;structured-output;computer-use	vllm-project/vllm;sgl-project/sglang;firecracker-microvm/firecracker;mlc-ai/xgrammar;trycua/cua	ecosystem/pickup/_evidence/sandbox-exec.md:39	perf tests run as A/B comparisons against baseline on PRs	none	not-applicable	No performance claims of its own.
RP-051	Measure the overhead of the safety layer itself	Benchmark what the isolation, constraint, or guard mechanism costs (seccomp filter cost, grammar compile and mask time, scanner latency) alongside what it prevents.	sandbox-exec;structured-output;guardrails	google/gvisor;mlc-ai/xgrammar;vllm-project/vllm;protectai/llm-guard	ecosystem/pickup/_evidence/sandbox-exec.md:30	Seccomp-bpf filter benchmarking (cost of the isolation mechanism itself)	none	not-applicable	No safety layer at runtime.
RP-052	Latency budgets asserted as tests	Define latency metrics (time to first audio, boot-to-init, startup, snapshot restore) as tested code with a spec to assert against, not only as dashboard numbers.	voice-agents;sandbox-exec	pipecat-ai/pipecat;livekit/agents;firecracker-microvm/firecracker;e2b-dev/E2B	ecosystem/pickup/_evidence/sandbox-exec.md:37	Boot-to-init time spec test: parse	none	not-applicable	No latency-sensitive runtime.
RP-053	Report quality delta together with the speedup	Every optimization or quantization method reports the quality change (perplexity, downstream tasks) next to its speedup, from one command.	quantization;inference-engines	pytorch/ao;NVIDIA/TensorRT-LLM;ggml-org/llama.cpp;EleutherAI/lm-evaluation-harness	ecosystem/pickup/_evidence/quantization.md:25	reports perplexity delta, (c) reports kernel speedup, all one command	none	not-applicable	No optimizations to report.
RP-054	Reproducible contender containers and parameter sweeps (report a frontier, not a point)	Benchmark every contender in its own container against identical datasets and sweep index, query, and quantization parameters, publishing the recall-vs-throughput frontier.	vector-dbs	erikbern/ann-benchmarks;qdrant/qdrant;milvus-io/milvus;weaviate/weaviate	ecosystem/pickup/_evidence/vector-dbs.md:24	Docker-per-algorithm reproducibility for benchmarks	none	not-applicable	No benchmarks.
RP-055	Security properties get dedicated adversarial tests	Assert isolation and auth properties directly: jail uid/gid and permission bits, seccomp blocking the forbidden syscall set, known-vulnerability regression, signature paths with an independent reimplementation, audit events that must fire.	sandbox-exec;multi-agent-protocols	firecracker-microvm/firecracker;e2b-dev/E2B;a2aproject/a2a-js;a2aproject/a2a-python;fetchai/uAgents;agent-network-protocol/anp	ecosystem/pickup/_evidence/sandbox-exec.md:27	verify the BPF filter actually blocks the forbidden syscall set	none	not-applicable	No isolation or auth surface.
RP-056	Resource-limit and worst-case safety tests	Test that timeouts, kills, rate limits, and compilation budgets are enforced, including pathological inputs that would stall the serving loop.	sandbox-exec;structured-output	firecracker-microvm/firecracker;e2b-dev/E2B;vllm-project/vllm	ecosystem/pickup/_evidence/structured-output.md:27	guards against pathological regexes DoS-ing the serving loop	none	not-applicable	No runtime resource limits.
RP-057	Fuzzing and malformed-input batteries as maintained equipment	Keep a fuzz corpus and targets for parsers, run them on a schedule, and assert that every malformed input class is refused.	rag-frameworks;frankensuite	deepset-ai/haystack;oven-sh/bun;Dicklesworthstone/franken_node;Dicklesworthstone/frankenredis;Dicklesworthstone/franken_overlap;Dicklesworthstone/asupersync	ecosystem/pickup/_evidence/rag-frameworks.md:26	Fuzz corpus for parsers	none	not-applicable	No parsers of untrusted input.
RP-058	Property-based tests with explicit invariants	Generate inputs with property strategies and assert named invariants (cross-version persistence, metamorphic identities) instead of example-only tests.	vector-dbs;frankensuite	chroma-core/chroma;Dicklesworthstone/frankenjax;Dicklesworthstone/asupersync	ecosystem/pickup/_evidence/vector-dbs.md:27	Property-based correctness testing (Hypothesis strategies + explicit invariants)	none	not-applicable	No library code.
RP-059	UB and sanitizer lanes over the unsafe-dense code	Run sanitizers, coverage, and Miri (with the aliasing model and its rationale recorded) as separate lanes over the code with the most unsafe.	sandbox-exec;inference-engines;frankensuite	firecracker-microvm/firecracker;ggml-org/llama.cpp;oven-sh/bun;Dicklesworthstone/frankenfs	synthesis/vendor-port-learnings.md:680	G10. MIRI — UB detector over the unsafe-dense corner [Bun].	none	not-applicable	No unsafe code.
