repo	spdx	license_class	checked	command	note
exa-labs/exa-py	MIT	permissive	2026-09-23	gh api repos/exa-labs/exa-py --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/exa-labs/exa-py/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
facebookresearch/faiss	MIT	permissive	2026-09-23	gh api repos/facebookresearch/faiss --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/facebookresearch/faiss/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
Farama-Foundation/Gymnasium	MIT	permissive	2026-09-23	gh api repos/Farama-Foundation/Gymnasium --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/Farama-Foundation/Gymnasium/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
Farama-Foundation/PettingZoo	MIT	permissive	2026-09-23	gh api repos/Farama-Foundation/PettingZoo --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/Farama-Foundation/PettingZoo/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
firecracker-microvm/firecracker	Apache-2.0	permissive	2026-09-23	gh api repos/firecracker-microvm/firecracker --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/firecracker-microvm/firecracker/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
firecrawl/firecrawl	AGPL-3.0	network-copyleft	2026-09-23	gh api repos/firecrawl/firecrawl --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api -H 'Accept: application/vnd.github.raw' repos/firecrawl/firecrawl/contents/apps/python-sdk/LICENSE ; gh api 'repos/firecrawl/firecrawl/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	AGPL-3.0: offering a modified server over a network requires releasing its source; SDKs under apps/*-sdk (python, js, ruby, elixir) are MIT; tree scanned for nested licenses/ee dirs
getzep/graphiti	Apache-2.0	permissive	2026-09-23	gh api repos/getzep/graphiti --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/getzep/graphiti/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
getzep/zep	Apache-2.0	permissive	2026-09-23	gh api repos/getzep/zep --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/getzep/zep/readme --jq .content | base64 -d ; gh api 'repos/getzep/zep/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	No longer in Adopt (moved to Copy in stack/agent-memory.md on 2026-09-23); row kept because stack/agent-memory.md:24 still cites the repo and other verdicts cite licenses.tsv by line number; README: repo is "Zep Cloud: Examples & Integrations"; "Zep Community Edition is no longer supported. Its code has been moved to the legacy/ folder"; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
ggml-org/llama.cpp	MIT	permissive	2026-09-23	gh api repos/ggml-org/llama.cpp --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/ggml-org/llama.cpp/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
github/github-mcp-server	MIT	permissive	2026-09-23	gh api repos/github/github-mcp-server --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/github/github-mcp-server/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
google/gvisor	Apache-2.0	permissive	2026-09-23	gh api repos/google/gvisor --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/google/gvisor/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
guardrails-ai/guardrails	Apache-2.0	permissive	2026-09-23	gh api repos/guardrails-ai/guardrails --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/guardrails-ai/guardrails/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
hiyouga/LlamaFactory	Apache-2.0	permissive	2026-09-23	gh api repos/hiyouga/LlamaFactory --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/hiyouga/LlamaFactory/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
HKUDS/LightRAG	MIT	permissive	2026-09-23	gh api repos/HKUDS/LightRAG --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/HKUDS/LightRAG/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
huggingface/sentence-transformers	Apache-2.0	permissive	2026-09-23	gh api repos/huggingface/sentence-transformers --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/huggingface/sentence-transformers/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
huggingface/smolagents	Apache-2.0	permissive	2026-09-23	gh api repos/huggingface/smolagents --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/huggingface/smolagents/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
huggingface/text-embeddings-inference	Apache-2.0	permissive	2026-09-23	gh api repos/huggingface/text-embeddings-inference --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/huggingface/text-embeddings-inference/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
huggingface/trl	Apache-2.0	permissive	2026-09-23	gh api repos/huggingface/trl --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/huggingface/trl/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
InternLM/lmdeploy	Apache-2.0	permissive	2026-09-23	gh api repos/InternLM/lmdeploy --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/InternLM/lmdeploy/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
jina-ai/reader	Apache-2.0	permissive	2026-09-23	gh api repos/jina-ai/reader --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/jina-ai/reader/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
kata-containers/kata-containers	Apache-2.0	permissive	2026-09-23	gh api repos/kata-containers/kata-containers --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/kata-containers/kata-containers/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
lancedb/lancedb	Apache-2.0	permissive	2026-09-23	gh api repos/lancedb/lancedb --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/lancedb/lancedb/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
langchain-ai/langchain	MIT	permissive	2026-09-23	gh api repos/langchain-ai/langchain --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/langchain-ai/langchain/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
langchain-ai/langgraph	MIT	permissive	2026-09-23	gh api repos/langchain-ai/langgraph --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/langchain-ai/langgraph/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
langfuse/langfuse	MIT AND LicenseRef-Langfuse-Enterprise	permissive-with-conditions	2026-09-23	gh api repos/langfuse/langfuse --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/langfuse/langfuse/license --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/langfuse/langfuse/contents/ee/LICENSE ; gh api 'repos/langfuse/langfuse/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; open core, dual-licensed: LICENSE "All content that resides under the 'ee/', 'web/src/ee/', and/or 'worker/src/ee/' directories ... is licensed under the license defined in 'ee/LICENSE'"; rest MIT. ee/LICENSE: "may only be used, if you ... have a valid Langfuse Enterprise License"; tree scanned for nested licenses/ee dirs
letta-ai/letta-code	Apache-2.0	permissive	2026-09-23	gh api repos/letta-ai/letta-code --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/letta-ai/letta-code/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
Lightning-AI/litgpt	Apache-2.0	permissive	2026-09-23	gh api repos/Lightning-AI/litgpt --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/Lightning-AI/litgpt/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
likaixin2000/ScreenSpot-Pro-GUI-Grounding	MIT	permissive	2026-09-23	gh api repos/likaixin2000/ScreenSpot-Pro-GUI-Grounding --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/likaixin2000/ScreenSpot-Pro-GUI-Grounding/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
livekit/agents	Apache-2.0	permissive	2026-09-23	gh api repos/livekit/agents --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/livekit/agents/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
livekit/livekit	Apache-2.0	permissive	2026-09-23	gh api repos/livekit/livekit --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/livekit/livekit/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
mem0ai/mem0	Apache-2.0	permissive	2026-09-23	gh api repos/mem0ai/mem0 --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/mem0ai/mem0/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
meta-llama/PurpleLlama	LicenseRef-Llama-3.2-Community AND MIT	source-available	2026-09-23	gh api repos/meta-llama/PurpleLlama --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/meta-llama/PurpleLlama/license --jq .content | base64 -d ; gh api -H 'Accept: application/vnd.github.raw' repos/meta-llama/PurpleLlama/contents/LlamaFirewall/LICENSE ; gh api -H 'Accept: application/vnd.github.raw' repos/meta-llama/PurpleLlama/contents/Llama-Prompt-Guard-2/86M/LICENSE ; gh api 'repos/meta-llama/PurpleLlama/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; root LICENSE is "LLAMA 3.2 COMMUNITY LICENSE AGREEMENT"; Llama-Guard*/ and Llama-Prompt-Guard-2/ dirs carry Llama 2/3.2/4 Community Licenses (acceptable-use policy, "Built with Llama" display, >700M MAU needs a Meta license); LlamaFirewall/, CodeShield/, CybersecurityBenchmarks/, SensitiveDocClassification/ are MIT; tree scanned for nested licenses/ee dirs
michaelfeil/infinity	MIT	permissive	2026-09-23	gh api repos/michaelfeil/infinity --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/michaelfeil/infinity/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
microsoft/graphrag	MIT	permissive	2026-09-23	gh api repos/microsoft/graphrag --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/microsoft/graphrag/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
microsoft/OmniParser	CC-BY-4.0	permissive	2026-09-23	gh api repos/microsoft/OmniParser --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/microsoft/OmniParser/license --jq .content | base64 -d ; gh api repos/microsoft/OmniParser/readme --jq .content | base64 -d ; gh api 'repos/microsoft/OmniParser/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	LICENSE is "Attribution 4.0 International" (attribution only) while README badge says MIT; README "Model Weights License": "icon_detect_v3 is based on the MIT-licensed YOLOv9 implementation. Earlier Ultralytics-based icon detectors retain their original AGPL license"; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
microsoft/onnxruntime	MIT	permissive	2026-09-23	gh api repos/microsoft/onnxruntime --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/microsoft/onnxruntime/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
microsoft/playwright-mcp	Apache-2.0	permissive	2026-09-23	gh api repos/microsoft/playwright-mcp --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/microsoft/playwright-mcp/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
microsoft/PyRIT	MIT	permissive	2026-09-23	gh api repos/microsoft/PyRIT --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/microsoft/PyRIT/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
milvus-io/milvus	Apache-2.0	permissive	2026-09-23	gh api repos/milvus-io/milvus --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/milvus-io/milvus/git/trees/master?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
mlc-ai/xgrammar	Apache-2.0	permissive	2026-09-23	gh api repos/mlc-ai/xgrammar --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/mlc-ai/xgrammar/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
modelcontextprotocol/conformance	Apache-2.0 AND MIT	permissive	2026-09-23	gh api repos/modelcontextprotocol/conformance --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/modelcontextprotocol/conformance/license --jq .content | base64 -d ; gh api 'repos/modelcontextprotocol/conformance/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "undergoing a licensing transition from the MIT License to the Apache License, Version 2.0"; un-relicensed contributions "remain licensed under the MIT License"; docs CC-BY-4.0; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
modelcontextprotocol/inspector	Apache-2.0 AND MIT	permissive	2026-09-23	gh api repos/modelcontextprotocol/inspector --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/modelcontextprotocol/inspector/license --jq .content | base64 -d ; gh api 'repos/modelcontextprotocol/inspector/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "undergoing a licensing transition from the MIT License to the Apache License, Version 2.0"; un-relicensed contributions "remain licensed under the MIT License"; docs CC-BY-4.0; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
modelcontextprotocol/python-sdk	MIT	permissive	2026-09-23	gh api repos/modelcontextprotocol/python-sdk --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/modelcontextprotocol/python-sdk/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
modelcontextprotocol/typescript-sdk	Apache-2.0 AND MIT	permissive	2026-09-23	gh api repos/modelcontextprotocol/typescript-sdk --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api repos/modelcontextprotocol/typescript-sdk/license --jq .content | base64 -d ; gh api 'repos/modelcontextprotocol/typescript-sdk/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	API spdx_id NOASSERTION; LICENSE: "undergoing a licensing transition from the MIT License to the Apache License, Version 2.0"; un-relicensed contributions "remain licensed under the MIT License"; docs CC-BY-4.0; tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
noamgat/lm-format-enforcer	MIT	permissive	2026-09-23	gh api repos/noamgat/lm-format-enforcer --jq '{full_name, license: .license, archived, fork, default_branch}' ; gh api 'repos/noamgat/lm-format-enforcer/git/trees/main?recursive=1' (scan for nested LICENSE/COPYING and ee|enterprise|wl dirs)	tree scan: no non-permissive nested LICENSE and no ee/enterprise dir (third_party/vendor excluded)
