# Contract-to-gate matrix (review 5). One row per normative rule: where the rule is written (file:line, paths relative to .atlas-arc/contracts/ unless eval/),
# the sub-check that enforces it, the fixtures that must trip it (or pass, where marked), the expected failure code, and the fixture status:
# file:<path> = the fixture exists as data today; runs:<command> = a validator runs it today; described:<where> = the fixture is only described in plan text.
# Gates Q1-Q7 are not built (GATES-PLAN.md); only eval/validate.mjs runs today. A rule with no row is not enforced; a bead that adds a rule adds its row.
rule	written_at	rule_text	sub_check	fixtures	expected_failure	fixture_status
HON-02	IF-HONESTY.md:13	Every result shows its license, read from the repo LICENSE	Q3.HON-02	crate:charmed_rust/charmed-bubbletea with license MIT in a MIT+rider repo	Q3.HON-02.LICENSE_CLASS	described:IF-HONESTY.md HON-02
HON-03	IF-HONESTY.md:15	Every result links its source at a pin	Q3.HON-03	source_url on /blob/main/; url rigor/index.html#rp-999	Q3.HON-03.UNPINNED; Q3.HON-03.URL_UNRESOLVED	described:IF-HONESTY.md HON-03
HON-04	IF-HONESTY.md:17	No adoption imperative against a verdict	Q3.HON-04	crate with cargo add under a do-not-depend verdict	Q3.HON-04.IMPERATIVE	described:IF-HONESTY.md HON-04
HON-05	IF-HONESTY.md:19	Postures come from cited verdicts	Q3.HON-05	asupersync crate (ring Pilot) with posture use	Q3.HON-05.POSTURE	described:IF-HONESTY.md HON-05
HON-06	IF-HONESTY.md:21	Rider quotes carry the flag and the notice	Q3.HON-06	asupersync Cargo.toml quote with rider_flag false	Q3.HON-06.RIDER_FLAG	described:IF-HONESTY.md HON-06
HON-07	IF-HONESTY.md:23	No quotes without a grant, and quotes stay short and exact	Q3.HON-07	quote from mechanism_interferometry_causality; 7-line quote; one-character hash mismatch	Q3.HON-07.NO_GRANT; Q3.HON-07.TOO_LONG; Q3.HON-07.NOT_EXACT	described:IF-HONESTY.md HON-07
HON-08	IF-HONESTY.md:25	The rider is described one way, and never as barring ordinary users	Q3.HON-08	prompt "You may not use this code if you use Claude."	Q3.HON-08.RIDER_WORDING	described:IF-HONESTY.md HON-08
HON-09	IF-HONESTY.md:27	Quotes live only in the quotes shard	Q3.HON-09	core entry carrying quote	Q3.HON-09.QUOTE_IN_CORE	described:IF-HONESTY.md HON-09
HON-10	IF-HONESTY.md:29	Nothing private	Q3.HON-10	fh:oracles:D14 entry; replaces text naming franken-harvest	Q3.HON-10.PRIVATE	described:IF-HONESTY.md HON-10
HON-11	IF-HONESTY.md:31	fh and rigor-atlas tiers follow TIER-MAP (detector, normalization, rule, basis template)	Q3.HON-11	raptorq-fountain known-bad; TMF-00..TMF-11, TMR-02..TMR-05, FHN-01..FHN-12	Q3.HON-11.TM_UNMAPPED_LABEL; FH_STATE_UNMAPPED; TM_RULE_MISMATCH; TM_BASIS_TEMPLATE_MISMATCH; TM_BASIS_OVERCLAIM; TM_BASIS_ARTIFACT_MISMATCH; TM_CONFIDENCE_HIGH; TM_MAPPED_FROM_MISSING	file:contracts/fixtures/tier-map.json
HON-12	IF-HONESTY.md:33	Summaries and prompts are our words	Q3.HON-12	crate summary pasting a 12+ word description	Q3.HON-12.SHINGLE_MATCH	described:IF-HONESTY.md HON-12
HON-13	IF-HONESTY.md:35	Credit	Q3.HON-13	ra technique crediting only JYeswak/franken-research	Q3.HON-13.CREDIT	described:IF-HONESTY.md HON-13
HON-14	IF-HONESTY.md:37	Pins show their age	Q3.HON-14	crate entry without pinned	Q3.HON-14.PIN_AGE	described:IF-HONESTY.md HON-14
HON-15	IF-HONESTY.md:39	crawler policy file committed (open, DEC-011), fail closed when absent, shards and robots.txt obey the state	Q3.HON-15	CPF-00 (pass), CPF-01, CPF-02, CPF-03, CPF-04 (pass), CPF-05, CPF-06, CPF-07 (pass), CPF-08, CPF-09	Q3.HON-15.POLICY_MISSING; POLICY_UNKNOWN; QUOTES_WHILE_PENDING; CRAWLER_RULE_UNDER_OPEN; MISSING_CRAWLER_GROUP; SITE_BLOCKED	file:contracts/fixtures/crawler-policy.json
HON-16	IF-HONESTY.md:41	One id per repo verdict; forks are not Jeffrey's work	Q3.HON-16	ra:technique:hnswlib-rs/... entry	Q3.HON-16.FORK	described:IF-HONESTY.md HON-16
HON-17	IF-HONESTY.md:43	crates.io links only for owner-verified names	Q3.HON-17	crate:meta_skill/ms linking crates.io/crates/ms	Q3.HON-17.CRATES_IO_OWNER	described:IF-HONESTY.md HON-17
TM-P1	TIER-MAP.md:16	never upgrade: take the weaker tier	Q3.HON-11	TMF-09, TMR-02..TMR-05	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-P2	TIER-MAP.md:17	tier follows the evidence the row cites	Q3.HON-11	TMR-02, TMR-04	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-P3	TIER-MAP.md:18	no ra or fh claim graded High	Q3.HON-11	TMF-10	Q3.HON-11.TM_CONFIDENCE_HIGH	file:contracts/fixtures/tier-map.json
TM-P4	TIER-MAP.md:19	unknown, empty or mixed labels and unknown raw states fail via tm_unmapped_label	Q3.HON-11	TMF-01, TMF-02, TMF-03, TMF-04, FHN-09, FHN-10	Q3.HON-11.TM_UNMAPPED_LABEL; Q3.HON-11.FH_STATE_UNMAPPED (exact line with detector=tm_unmapped_label)	file:contracts/fixtures/tier-map.json
TM-P5	TIER-MAP.md:20	every mapped entry records mapped_from {system, label, rule}	Q3.HON-11	TMF-11	Q3.HON-11.TM_MAPPED_FROM_MISSING	file:contracts/fixtures/tier-map.json
TM-P6	TIER-MAP.md:21	Tier-1 basis equals its rule template: checked clause (presence at the pin) separate from the unchecked interpretation	Q3.HON-11	TMF-05, TMF-06, TMF-07, TMF-08	Q3.HON-11.TM_BASIS_OVERCLAIM; TM_BASIS_TEMPLATE_MISMATCH; TM_BASIS_ARTIFACT_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-1	TIER-MAP.md:34	rigor-atlas rule TM-RA-1	Q3.HON-11	TMF-00 (pass), TMF-09	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-2	TIER-MAP.md:35	rigor-atlas rule TM-RA-2	Q3.HON-11	TMR-02	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-3	TIER-MAP.md:36	rigor-atlas rule TM-RA-3	Q3.HON-11	TMR-03	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-4	TIER-MAP.md:37	rigor-atlas rule TM-RA-4	Q3.HON-11	TMR-04	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-5	TIER-MAP.md:38	rigor-atlas rule TM-RA-5	Q3.HON-11	TMR-05	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-RA-6	TIER-MAP.md:39	rigor-atlas rule TM-RA-6	Q3.HON-11	prescription entry with the advice graded Tier 1	Q3.HON-11.TM_RULE_MISMATCH	described:this row
TM-RA-7	TIER-MAP.md:40	rigor-atlas rule TM-RA-7	Q3.HON-11	profile with a mixed invariant label graded Medium	Q3.HON-11.TM_RULE_MISMATCH	described:this row
TM-RA-8	TIER-MAP.md:41	rigor-atlas rule TM-RA-8	Q3.HON-11	ra:kind entry given a tier	Q3.HON-11.TM_RULE_MISMATCH	described:this row
TM-RA-9	TIER-MAP.md:42	rigor-atlas rule TM-RA-9	Q1.ID	an ra:hypothesis id minted in v1	Q1.ID.GRAMMAR	described:this row
TM-RA-10	TIER-MAP.md:43	rigor-atlas rule TM-RA-10	Q3.HON-11	TMF-09	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-1	TIER-MAP.md:55	franken-harvest rule TM-FH-1	Q3.HON-11	FHN-01 (pass)	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-2	TIER-MAP.md:56	franken-harvest rule TM-FH-2	Q3.HON-11	FHN-02, FHN-08 (pass)	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-3	TIER-MAP.md:57	franken-harvest rule TM-FH-3	Q3.HON-11	FHN-05, FHN-06 (pass)	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-4	TIER-MAP.md:58	franken-harvest rule TM-FH-4	Q3.HON-11	FHN-03	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-5	TIER-MAP.md:59	franken-harvest rule TM-FH-5	Q3.HON-11	FHN-04, FHN-07, FHN-11	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-FH-6	TIER-MAP.md:60	franken-harvest rule TM-FH-6	Q3.HON-11	fh:oracles:D14 entry	Q3.HON-10.PRIVATE; Q1.ID.GRAMMAR	described:IF-HONESTY.md HON-10
TM-FH-7	TIER-MAP.md:61	franken-harvest rule TM-FH-7	Q3.HON-11	runbook step given a tier	Q3.HON-11.TM_RULE_MISMATCH	described:this row
TM-FH-8	TIER-MAP.md:62	franken-harvest rule TM-FH-8	Q1.ID	fh:ledger:C31 id	Q1.ID.GRAMMAR	described:IF-ID.md §6
TM-N1	TIER-MAP.md:70	raw fh state normalization row N1	Q3.HON-11	FHN-12, FHN-05; checker selftest cases "empty quote", "whitespace quote"	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs --selftest
TM-N2	TIER-MAP.md:71	raw fh state normalization row N2	Q3.HON-11	FHN-01	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-N3	TIER-MAP.md:72	raw fh state normalization row N3	Q3.HON-11	FHN-08	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-N4	TIER-MAP.md:73	raw fh state normalization row N4	Q3.HON-11	FHN-02	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs --selftest
TM-N5	TIER-MAP.md:74	raw fh state normalization row N5	Q3.HON-11	FHN-11; checker selftest case "relocated twice"	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs --selftest
TM-N6	TIER-MAP.md:75	raw fh state normalization row N6	Q3.HON-11	FHN-06	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-N7	TIER-MAP.md:76	raw fh state normalization row N7	Q3.HON-11	FHN-03	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-N8	TIER-MAP.md:77	raw fh state normalization row N8	Q3.HON-11	FHN-04	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json; runs:node search/tools/quote-check.mjs --selftest
TM-N9	TIER-MAP.md:78	raw fh state normalization row N9	Q3.HON-11	FHN-07	Q3.HON-11.TM_RULE_MISMATCH	file:contracts/fixtures/tier-map.json
TM-N10	TIER-MAP.md:79	raw fh state normalization row N10	Q3.HON-11	FHN-09, FHN-10	Q3.HON-11.FH_STATE_UNMAPPED	file:contracts/fixtures/tier-map.json
GP-01	GATES-PLAN.md:9	every gate fails on an empty scan set	Q1..Q7	each gate run over an empty index	Q<n>.EMPTY_SCAN	described:this row
GP-02	GATES-PLAN.md:10	every gate runs its selftest first and fails if a fixture does not fail as planted	Q1..Q7 + eval	all fixtures in this matrix; GF-01..GF-13 today	SELFTEST_FAILED	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-01	eval/README.md:164	every expected and must_not id resolves	eval.validate	GF-01, GF-02, GF-03	exit 2 listing the id	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-02	eval/README.md:168	every where points at its own id's source item	eval.validate	GF-04, GF-05	exit 1 "does not point at this id's source item"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-03	eval/README.md:168	relevance is not checked by any validator (boundary): validate.mjs checks shape and source, not relevance	independent review	IDF-05, GF-06 (both must pass)	exit 0 (boundary)	file:contracts/fixtures/id-derivation.json; runs:node .atlas-arc/eval/validate.mjs --selftest
GS-04	eval/README.md:54	real queries carry an opaque maintainer-session reference and {source, date, verbatim[, redacted]}, or a paraphrase note	eval.validate	GF-07, GF-08	exit 1 "needs provenance" / "provenance.verbatim is empty"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-05	eval/README.md:3	at least 40 real (session-origin) queries	eval.validate coverage	GF-13 (committed file)	exit 1 "coverage: real (session-origin) queries >= 40"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-06	eval/README.md:98	every negative-control family has a must_not control; controls need must_not	eval.validate	GF-09, GF-10, GF-13	exit 1 "has no must_not" / "unknown control family" / "coverage: negative control"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-07	eval/README.md:78	leakage.tsv covers every query as worded now; scores split leaky/independent	eval.validate	GF-11	exit 1 "row is stale"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-08	eval/README.md:124	REQ-O1 scoring: 80% top-3 on kept real queries, honesty-hit and must-not rejection rates, split reporting	Q4.RELEVANCE	Q4 fixtures (1)-(3)	Q4.RELEVANCE.BELOW_FLOOR; Q4.RELEVANCE.MUST_NOT_IN_TOP3	described:GATES-PLAN.md Q4
GS-09	eval/README.md:62	golden privacy: every scalar field of every record scanned (paths, session files, machine/host incl. spelling variants and hashed private words, emails, non-Jeffrey handles, private-workflow phrases); fields outside the record schema fail	eval.validate	GF-14..GF-20, GF-23, GF-25, GF-28; GF-13 (committed file)	exit 1 "privacy: <qid> <field>: <class>"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-10	eval/README.md:63	structured golden fields are closed: honest_answer and provenance.redacted enums, origin and date grammars, where in one of four full public forms	eval.validate	GF-22, GF-24	exit 1 "honest_answer must be one of" / "provenance.redacted must be" / "where is not one of the public where forms"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-11	eval/README.md:64	free-text golden fields use only words from the published repository text or the reviewed public-words.txt	eval.validate	GF-21	exit 1 "word not in the public vocabulary"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-12	eval/README.md:65	every committed file under .atlas-arc/eval and search/ passes the pattern scan; leakage.tsv carries only the fixed public header	eval.validate (full run)	GF-26, GF-27; GF-13 (committed tree)	exit 1 "privacy: artifact <file>:<line>" / "leakage header"	runs:node .atlas-arc/eval/validate.mjs --selftest
GS-13	eval/README.md:189	REQ-O1 is not claimed until the independent relevance review scores a built engine and the maintainer confirms it	independent review (not built)	none: a review step, not a fixture	no REQ-O1 claim	described:eval/README.md "Evidence level and what was not run"
