# rigor-atlas evidence check for TIER-MAP.md TM-RA-1 / TM-RA-10, written 2026-09-25 by search/tools/quote-check.mjs ra (format 1)
# source: rigor-atlas DB snapshot sha256=881cce40223af3079311f3390bfa851ff6b36aa792fcc225d45fd12ab91d366f; each file read with git at its repository's pinned commit (repos.sha) from [LOCAL_MIRROR]; quote text is not stored, only the first 16 hex of its sha256
# techniques: KNOW with at least one code evidence path, forks excluded: 1412; TM-RA-1 1412 (of which 11 only through a relocated-once path, N4); TM-RA-10 0
# evidence paths checked: 3478; raw states CURRENT 3397, RELOCATED 73, STALE 8
technique_id	repo	commit	path	line	quote_sha16	raw_state	occurrences	found_at	normalized	technique_rule
ra:technique:agent_flywheel_clawdbot_skills_and_integrations/rm-error-taxonomy/1b9c8a86	agent_flywheel_clawdbot_skills_and_integrations	f441ac3390d8fb54bb2b3388155b448948aeb526	skills/cass/scripts/recover.sh	24	78e8559a3e45da4c	CURRENT	1	24-24	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/filesystem-semantics/12c771cf	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	524	35affce400e89a5b	CURRENT	1	524-524	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/filesystem-semantics/12c771cf	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	1118	79d36383dcf30a48	CURRENT	1	1118-1118	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/filesystem-semantics/12c771cf	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	1135	981851882372e124	CURRENT	1	1135-1135	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/local.checksum-mirror-with-checkpoint-commit/c0c18949	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	648	b0335235030056fb	CURRENT	1	648-648	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/local.checksum-mirror-with-checkpoint-commit/c0c18949	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	472	d4a53b3c4737f13e	CURRENT	1	472-472	CURRENT	TM-RA-1
ra:technique:agent_settings_backup_script/local.checksum-mirror-with-checkpoint-commit/c0c18949	agent_settings_backup_script	4684a604a3107c72e2c9c12405357b900bb4ff4a	asb	475	1314081562d03470	CURRENT	1	475-475	CURRENT	TM-RA-1
ra:technique:agentic_coding_flywheel_setup/cryptographic-primitives/71e6aedf	agentic_coding_flywheel_setup	5b2f1a782eea2b8c8468bca6d1ac22fd263bfd8c	install.sh	3956	aaa5967083e6dc9a	CURRENT	1	3956-3956	CURRENT	TM-RA-1
ra:technique:agentic_coding_flywheel_setup/cryptographic-primitives/71e6aedf	agentic_coding_flywheel_setup	5b2f1a782eea2b8c8468bca6d1ac22fd263bfd8c	install.sh	3969	e7dfdfbd10927e7f	RELOCATED	1	3970-3970	CURRENT+line_relocated	TM-RA-1
ra:technique:agentic_coding_flywheel_setup/graph-algorithms-core/cdfeb89d	agentic_coding_flywheel_setup	5b2f1a782eea2b8c8468bca6d1ac22fd263bfd8c	packages/manifest/src/utils.ts	186	704772e69615bbae	CURRENT	1	186-186	CURRENT	TM-RA-1
ra:technique:agentic_coding_flywheel_setup/graph-algorithms-core/cdfeb89d	agentic_coding_flywheel_setup	5b2f1a782eea2b8c8468bca6d1ac22fd263bfd8c	packages/manifest/src/utils.ts	201	373574620391efab	CURRENT	1	201-201	CURRENT	TM-RA-1
ra:technique:asimposium.org/merkle-tree/51e6d3c5	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/krater/cas.ts	30	363d8967eedc281b	CURRENT	1	30-30	CURRENT	TM-RA-1
ra:technique:asimposium.org/merkle-tree/51e6d3c5	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/krater/cas.ts	62	2bec1e01afcfb0bd	CURRENT	1	62-62	CURRENT	TM-RA-1
ra:technique:asimposium.org/merkle-tree/51e6d3c5	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/krater/cas.ts	69	c5333cb161b9852d	CURRENT	1	69-69	CURRENT	TM-RA-1
ra:technique:asimposium.org/rm-deterministic-hashing-ordering/f31a7d12	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	packages/render/src/canonical.ts	38	7042afcffe23ef7a	CURRENT	1	38-38	CURRENT	TM-RA-1
ra:technique:asimposium.org/rm-deterministic-hashing-ordering/f31a7d12	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	packages/render/src/canonical.ts	45	b8203e6b31c6fa68	CURRENT	1	45-45	CURRENT	TM-RA-1
ra:technique:asimposium.org/rm-deterministic-hashing-ordering/f31a7d12	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	packages/render/src/canonical.ts	57	851910113c829fce	CURRENT	1	57-57	CURRENT	TM-RA-1
ra:technique:asimposium.org/two-phase-commit-sagas/2e54a66e	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/auth/local-check.ts	820	04f40aca5aa5be2a	CURRENT	1	820-820	CURRENT	TM-RA-1
ra:technique:asimposium.org/two-phase-commit-sagas/2e54a66e	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/auth/local-check.ts	824	5536ce611798fada	CURRENT	1	824-824	CURRENT	TM-RA-1
ra:technique:asimposium.org/two-phase-commit-sagas/2e54a66e	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/auth/local-check.ts	835	f93dcaf061f725a0	CURRENT	1	835-835	CURRENT	TM-RA-1
ra:technique:asimposium.org/ulid-monotonic/a2a91035	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/split/service.ts	142	e2077a213a86391a	CURRENT	1	142-142	CURRENT	TM-RA-1
ra:technique:asimposium.org/ulid-monotonic/a2a91035	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/split/service.ts	166	e0103cf0c19615f7	CURRENT	1	166-166	CURRENT	TM-RA-1
ra:technique:asimposium.org/ulid-monotonic/a2a91035	asimposium.org	ccf3f69982258cd8ffe440a19ec3a4a60464b986	apps/wire/src/split/service.ts	169	4b1a9b1a15e1eacd	CURRENT	1	169-169	CURRENT	TM-RA-1
ra:technique:asupersync/azuma-hoeffding/9e798e29	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cancel/progress_certificate.rs	17	639abd21bf71d707	CURRENT	1	17-17	CURRENT	TM-RA-1
ra:technique:asupersync/azuma-hoeffding/9e798e29	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cancel/progress_certificate.rs	14	372f1b40db31629a	CURRENT	1	14-14	CURRENT	TM-RA-1
ra:technique:asupersync/azuma-hoeffding/9e798e29	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cancel/progress_certificate.rs	27	ca70138d089c09a9	CURRENT	1	27-27	CURRENT	TM-RA-1
ra:technique:asupersync/bayes-theorem/f7e938e7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	franken_evidence/src/lib.rs	15	a43835505e1ccaae	CURRENT	1	15-15	CURRENT	TM-RA-1
ra:technique:asupersync/bayes-theorem/f7e938e7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	franken_decision/src/lib.rs	540	ed07f35d0796e740	CURRENT	1	540-540	CURRENT	TM-RA-1
ra:technique:asupersync/bayes-theorem/f7e938e7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/raptorq/decision_contract.rs	3	3c02ae657486f3aa	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/calm-theorem/abefae25	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/calm.rs	3	80929f57a03faa74	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/calm-theorem/abefae25	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/calm.rs	20	938373a5b37fe421	CURRENT	1	20-20	CURRENT	TM-RA-1
ra:technique:asupersync/capability-security/004b565f	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/cap.rs	13	cbbc21f1fca84415	CURRENT	1	13-13	CURRENT	TM-RA-1
ra:technique:asupersync/capability-security/004b565f	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/cap.rs	19	c252b8227f199b58	CURRENT	1	19-19	CURRENT	TM-RA-1
ra:technique:asupersync/capability-security/004b565f	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/mod.rs	6	049390444f6d3537	CURRENT	1	6-6	CURRENT	TM-RA-1
ra:technique:asupersync/conformal-prediction/a0395856	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/conformal.rs	7	aa521b09bb34f519	CURRENT	1	7-7	CURRENT	TM-RA-1
ra:technique:asupersync/conformal-prediction/a0395856	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/conformal.rs	22	46155dbb52f1cf21	CURRENT	1	22-22	CURRENT	TM-RA-1
ra:technique:asupersync/crdt/22c5dbeb	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/crdt.rs	13	3e34aaaae87333eb	CURRENT	1	13-13	CURRENT	TM-RA-1
ra:technique:asupersync/crdt/22c5dbeb	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/crdt.rs	4	d6bd6c7d86336360	CURRENT	1	4-4	CURRENT	TM-RA-1
ra:technique:asupersync/delta-debugging-ddmin/52d8cd48	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/delta_debug.rs	5	427887e64560f351	CURRENT	1	5-5	CURRENT	TM-RA-1
ra:technique:asupersync/delta-debugging-ddmin/52d8cd48	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/delta_debug.rs	18	fbd69343567072ed	CURRENT	1	18-18	CURRENT	TM-RA-1
ra:technique:asupersync/deterministic-simulation-testing/401fe168	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/lab_determinism.rs	8	fdae0edaee1d80b4	CURRENT	1	8-8	CURRENT	TM-RA-1
ra:technique:asupersync/deterministic-simulation-testing/401fe168	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/explorer.rs	300	b909a89aa8b415ca	CURRENT	1	300-300	CURRENT	TM-RA-1
ra:technique:asupersync/deterministic-simulation-testing/401fe168	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/replay.rs	11	16f1286206bc3102	CURRENT	1	11-11	CURRENT	TM-RA-1
ra:technique:asupersync/dialectica-interpretation/ad42812d	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/dialectica.rs	5	89bc3dfa8102ddf6	CURRENT	1	5-5	CURRENT	TM-RA-1
ra:technique:asupersync/dialectica-interpretation/ad42812d	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/dialectica.rs	16	380450bc88f0f159	CURRENT	1	16-16	CURRENT	TM-RA-1
ra:technique:asupersync/dpor-model-checking/c669904b	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/dpor.rs	33	4f9c82fe95008e58	CURRENT	1	33-33	CURRENT	TM-RA-1
ra:technique:asupersync/dpor-model-checking/c669904b	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/independence.rs	6	81e94af1db2cae1c	CURRENT	1	6-6	CURRENT	TM-RA-1
ra:technique:asupersync/dpor-model-checking/c669904b	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/dpor.rs	622	410a9b4fdc15d02c	CURRENT	1	622-622	CURRENT	TM-RA-1
ra:technique:asupersync/e-value/848570d8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/eprocess.rs	197	8d6f3c3dba1a23f4	CURRENT	1	197-197	CURRENT	TM-RA-1
ra:technique:asupersync/e-value/848570d8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/eprocess.rs	198	a42784287d130082	CURRENT	1	198-198	CURRENT	TM-RA-1
ra:technique:asupersync/e-value/848570d8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/oracle/eprocess.rs	33	1fcbdf39583d062b	CURRENT	1	33-33	CURRENT	TM-RA-1
ra:technique:asupersync/hoare-separation-logic/ec626e6c	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/separation_logic.rs	6	5c5051e527a5c96d	CURRENT	1	6-6	CURRENT	TM-RA-1
ra:technique:asupersync/hoare-separation-logic/ec626e6c	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/no_leak_proof.rs	9	6a5fc0d041eaf3a4	CURRENT	1	9-9	CURRENT	TM-RA-1
ra:technique:asupersync/hoare-separation-logic/ec626e6c	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/no_leak_proof.rs	57	d4eb8d7da10a2ac2	CURRENT	1	57-57	CURRENT	TM-RA-1
ra:technique:asupersync/hoeffding-d/506a10a3	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/observability/spectral_health.rs	884	41fcf57d6a391bc6	CURRENT	1	884-884	CURRENT	TM-RA-1
ra:technique:asupersync/hoeffding-d/506a10a3	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/observability/spectral_health.rs	1117	35c99107aeaf0c6f	CURRENT	1	1117-1117	CURRENT	TM-RA-1
ra:technique:asupersync/lineage-driven-fault-injection/b24f54e7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/ldfi.rs	10	3e4486003608ff8a	CURRENT	1	10-10	CURRENT	TM-RA-1
ra:technique:asupersync/lineage-driven-fault-injection/b24f54e7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/ldfi.rs	25	5386be213295d26a	CURRENT	1	25-25	CURRENT	TM-RA-1
ra:technique:asupersync/lyapunov-drift-potential/61118cbc	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/lyapunov.rs	11	99c37aea18f5ec92	CURRENT	1	11-11	CURRENT	TM-RA-1
ra:technique:asupersync/lyapunov-drift-potential/61118cbc	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/lyapunov.rs	12	c171ce6ac5b16c9e	CURRENT	1	12-12	CURRENT	TM-RA-1
ra:technique:asupersync/macaroons/4d5e75b7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/macaroon.rs	19	d8f24bf6e1a83c8a	CURRENT	1	19-19	CURRENT	TM-RA-1
ra:technique:asupersync/macaroons/4d5e75b7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/macaroon.rs	22	3b0167fbf2450616	CURRENT	1	22-22	CURRENT	TM-RA-1
ra:technique:asupersync/macaroons/4d5e75b7	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cx/macaroon.rs	5	3f5187e54c7fd7d2	CURRENT	1	5-5	CURRENT	TM-RA-1
ra:technique:asupersync/mazurkiewicz-trace-monoid/20725fde	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/canonicalize.rs	14	ccd829e6920ae434	CURRENT	1	14-14	CURRENT	TM-RA-1
ra:technique:asupersync/mazurkiewicz-trace-monoid/20725fde	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/canonicalize.rs	25	6021ab12c5c03f59	CURRENT	1	25-25	CURRENT	TM-RA-1
ra:technique:asupersync/mazurkiewicz-trace-monoid/20725fde	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/canonicalize.rs	57	b31e90ca948ecab6	CURRENT	1	57-57	CURRENT	TM-RA-1
ra:technique:asupersync/memory-model-atomics/eff8da59	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/actor.rs	834	1a0bd4df9014e7f5	CURRENT	1	834-834	CURRENT	TM-RA-1
ra:technique:asupersync/memory-model-atomics/eff8da59	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	asupersync-tokio-compat/src/cancel.rs	35	09de0c24f88c88e3	CURRENT	1	35-35	CURRENT	TM-RA-1
ra:technique:asupersync/merkle-tree/58a0934f	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/atp/journal/delta_cas.rs	95	278058e759e8df74	CURRENT	1	95-95	CURRENT	TM-RA-1
ra:technique:asupersync/merkle-tree/58a0934f	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/atp/journal/delta_cas.rs	287	3aca0a1a4c0b3677	CURRENT	1	287-287	CURRENT	TM-RA-1
ra:technique:asupersync/persistent-homology/7c6a6dac	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/gf2.rs	4	73275e11c0f16142	CURRENT	1	4-4	CURRENT	TM-RA-1
ra:technique:asupersync/persistent-homology/7c6a6dac	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/gf2.rs	367	6d52b8c3a5dc0a07	CURRENT	1	367-367	CURRENT	TM-RA-1
ra:technique:asupersync/persistent-homology/7c6a6dac	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/scoring.rs	3	5e6fee843aaf3fcc	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/process-calculi-session-types/b5bccaf3	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/session_types.rs	13	c959004d5c1da9ca	CURRENT	1	13-13	CURRENT	TM-RA-1
ra:technique:asupersync/process-calculi-session-types/b5bccaf3	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/session_types.rs	10	60e82eb51a7b25cd	CURRENT	1	10-10	CURRENT	TM-RA-1
ra:technique:asupersync/process-calculi-session-types/4ff6ef00	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/graded.rs	20	77d896c0e41b2c8b	CURRENT	1	20-20	CURRENT	TM-RA-1
ra:technique:asupersync/process-calculi-session-types/4ff6ef00	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/obligation/graded.rs	21	479a36303f5d4c7f	CURRENT	1	21-21	CURRENT	TM-RA-1
ra:technique:asupersync/raptorq-fountain/98717652	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/raptorq_rfc6330_conformance_tests.rs	5	9dab881c081a68d6	CURRENT	1	5-5	CURRENT	TM-RA-1
ra:technique:asupersync/raptorq-fountain/98717652	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/raptorq/proof.rs	39	62ee81addca06866	CURRENT	1	39-39	CURRENT	TM-RA-1
ra:technique:asupersync/raptorq-fountain/98717652	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/raptorq_journal.rs	7	337f03972958fe01	CURRENT	1	7-7	CURRENT	TM-RA-1
ra:technique:asupersync/rm-concurrency-model-checking/30f4fec8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/scheduler_loom.rs	6	1822bb3948e60a9c	CURRENT	1	6-6	CURRENT	TM-RA-1
ra:technique:asupersync/rm-concurrency-model-checking/30f4fec8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/scheduler_loom.rs	15	95101474b577d95a	CURRENT	1	15-15	CURRENT	TM-RA-1
ra:technique:asupersync/rm-concurrency-model-checking/30f4fec8	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	Cargo.toml	498	63443200e7e36c15	CURRENT	1	498-498	CURRENT	TM-RA-1
ra:technique:asupersync/rm-differential-oracle/f025b849	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/channel/oneshot_metamorphic.rs	9	44c171dbba9615e5	CURRENT	1	9-9	CURRENT	TM-RA-1
ra:technique:asupersync/rm-differential-oracle/f025b849	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/channel/oneshot_metamorphic.rs	11	591184e9e3bfc2bf	CURRENT	1	11-11	CURRENT	TM-RA-1
ra:technique:asupersync/rm-differential-oracle/6f47e0bd	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/conformance/raptorq_differential/src/differential_tests.rs	225	0093bde754ce7ca0	CURRENT	1	225-225	CURRENT	TM-RA-1
ra:technique:asupersync/rm-differential-oracle/6f47e0bd	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	asupersync-tokio-compat/src/hyper_bridge.rs	119	34476566ce4e0a13	CURRENT	1	119-119	CURRENT	TM-RA-1
ra:technique:asupersync/rm-evidence-receipts/0002d092	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/certificate.rs	3	8491bb61d057f899	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/rm-evidence-receipts/0002d092	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/trace/refinement_firewall.rs	3	422d9286e94a4e7b	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/rm-evidence-receipts/0002d092	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	franken_evidence/src/lib.rs	4	70ba7f75648c678a	CURRENT	1	4-4	CURRENT	TM-RA-1
ra:technique:asupersync/rm-fuzzing/381ade22	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/cli/atp_command_tree.rs	76	3c1b5d5a1a683895	CURRENT	1	76-76	CURRENT	TM-RA-1
ra:technique:asupersync/rm-fuzzing/381ade22	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/lab/fuzz.rs	1	ce892dea9cc2fbf3	CURRENT	1	1-1	CURRENT	TM-RA-1
ra:technique:asupersync/rm-lint-discipline/a3e46080	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	deny.toml	22	c1adb59abd0c245f	CURRENT	1	22-22	CURRENT	TM-RA-1
ra:technique:asupersync/rm-lint-discipline/a3e46080	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	deny.toml	24	b49e43b2a99c638e	CURRENT	1	24-24	CURRENT	TM-RA-1
ra:technique:asupersync/rm-lint-discipline/a3e46080	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	deny.toml	21	fbd68357f4182fc7	CURRENT	1	21-21	CURRENT	TM-RA-1
ra:technique:asupersync/rm-property-testing/50d65061	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/formal_semantics_conformance.rs	3	7927d81c7babb77b	CURRENT	1	3-3	CURRENT	TM-RA-1
ra:technique:asupersync/rm-property-testing/50d65061	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	tests/formal_semantics_conformance.rs	8	e693be5e8d83a0e7	CURRENT	1	8-8	CURRENT	TM-RA-1
ra:technique:asupersync/rm-unsafe-discipline/8090bc28	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	Cargo.toml	948	73b320df205c075a	CURRENT	1	948-948	CURRENT	TM-RA-1
ra:technique:asupersync/rm-unsafe-discipline/8090bc28	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	asupersync-browser-core/src/lib.rs	11	9055b8120cf74101	CURRENT	1	11-11	CURRENT	TM-RA-1
ra:technique:asupersync/scheduling-theory/19b72224	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/runtime/scheduler/three_lane.rs	43	ac266e972014bc06	CURRENT	1	43-43	CURRENT	TM-RA-1
ra:technique:asupersync/scheduling-theory/19b72224	asupersync	c1d84852cf3eb05a3fd61e6647a0c30e11b078de	src/runtime/scheduler/three_lane.rs	62	25b369190aead87f	CURRENT	1	62-62	CURRENT	TM-RA-1
