# Franken Research movement census, 2026-09-24 (UTC). Read-only; GitHub API only.
# Census run 2026-09-24 02:53-02:57 UTC. Pins come from each packet's "Pinned commit" / "Pin" header line; matrix cells (ci_at_pin, rel_at_pin, license_at_pin) from synthesis/00-overview.md master matrix. Neither is edited.
# Commands (OWNER=Dicklesworthstone; REPO, PIN, HEAD, PIN_DATE substituted per row):
#   gh api graphql -f query=<Q> -F owner=$OWNER -F name=$REPO -F pin=$PIN -F pinwf=$PIN:.github/workflows -F pinlic=$PIN:LICENSE
#     Q = repository(owner,name){ nameWithOwner isArchived pushedAt defaultBranchRef{name target{...on Commit{oid committedDate}}} pinCommit:object(expression:$pin){...on Commit{oid committedDate}} headWf:object(expression:"HEAD:.github/workflows"){...on Tree{entries{name}}} pinWf:object(expression:$pinwf){...} headLic:object(expression:"HEAD:LICENSE"){...on Blob{text}} headLicMd:object(expression:"HEAD:LICENSE.md"){...} pinLic:object(expression:$pinlic){...} releases(first:30,orderBy:{field:CREATED_AT,direction:DESC}){nodes{tagName isDraft isPrerelease createdAt publishedAt tagCommit{oid committedDate}}} refs(refPrefix:"refs/tags/",first:30,orderBy:{field:TAG_COMMIT_DATE,direction:DESC}){nodes{name target{...on Commit{oid committedDate} ...on Tag{target{...on Commit{oid committedDate}}}}}} }
#   gh api repos/$OWNER/$REPO/compare/$PIN...$HEAD --jq '{status, ahead_by, behind_by}'
#   gh api "repos/$OWNER/$REPO/actions/runs?head_sha=$HEAD&per_page=100" --jq '[.workflow_runs[] | (.conclusion // .status)] | group_by(.) | map("\(.[0])=\(length)") | join(",")'
#   gh api --paginate "repos/$OWNER/$REPO/commits?sha=HEAD&since=$PIN_DATE&per_page=100" --jq '.[] | select(.sha != "$PIN") | (.author.login // ("email:" + .commit.author.email))'
# Definitions: new_releases = GitHub Releases published after the pin commit date, plus tags whose commit is dated after it (tags checked with compare PIN...TAG = ahead). head/head_date = default-branch tip. workflows_now = files under .github/workflows at HEAD, compared with the same path at the pin (file presence only; C5 "disabled" states are not visible this way). license_now = first non-empty line of HEAD:LICENSE (or LICENSE.md). actions_runs_at_head = a snapshot of run conclusions/status for the HEAD sha at census time, not a pin verdict. authors_since_pin = commit author logins (or emails) dated after the pin; a date-window sample.
# material_change = [Inference, Medium]: "yes" only when census evidence could change a master-matrix cell (TRL, ring, CI class, release class, license, bus factor) at a re-pin. Commits alone never move a cell here; TRL and ring need a dated addendum. Result: 44 repos checked; 0 not found, renamed, or archived; 32 moved past the pin, 12 did not; 2 flagged yes.
repo	pin	pin_date	head	head_date	commits_ahead	new_releases	workflows_now	license_now	material_change	ci_at_pin	rel_at_pin	license_at_pin	actions_runs_at_head	authors_since_pin	note
franken_markdown	88a6a99ed1ebc48c7910c28213005d8b35963079	2026-09-22T14:37:59Z	180c3e743396c9087b0f7588e5ca17198818c784	2026-09-24T02:36:50Z	41	none	1 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R3	Rider	none	Dicklesworthstone=32	
franken_markdown_website	c9574d3b101a3bb820c25de6b95a1a7ffe25166a	2026-09-22T04:29:52Z	c9574d3b101a3bb820c25de6b95a1a7ffe25166a	2026-09-22T04:29:52Z	0	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C4	R1	Rider	none	-	
franken_native_capsule	7af57e2c43d42e77eff569b133b263c4e2a858f9	2026-08-20T20:16:33Z	7af57e2c43d42e77eff569b133b263c4e2a858f9	2026-08-20T20:16:33Z	0	none	none (no .github/workflows at HEAD or pin)	no LICENSE file	no: HEAD is the pin	C4	R1	none	none	-	
franken_networkx	841a711634c1c38c51c6f344598e1fc7ec273dd4	2026-09-22T15:25:58Z	7fa3509d4a2c38f99eb10c5d41881001780b1c2e	2026-09-24T02:36:52Z	1	none	4 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C3 (green 2026-09-09, 13 days before pin)	R2	Rider	none	Dicklesworthstone=1	
franken_nlp	30373ca0c7911784dd04865636eaf82f2f2dfab8	2026-09-22T06:55:22Z	30373ca0c7911784dd04865636eaf82f2f2dfab8	2026-09-22T06:55:22Z	0	none	1 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C5	R1	Rider	none	-	
franken_node	08447a0aa5ed016d5ff9abb5aa0d44e9f5061dc4	2026-09-22T05:23:51Z	1ee82725812a7f58588d253408849262014c311e	2026-09-24T02:52:24Z	24	none	51 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R2	Rider	failure=4,queued=11,success=1	Dicklesworthstone=1 email:[email redacted]=24	
franken_numpy	7de9ba73281017127e144671df1c2f4e4276f078	2026-09-22T12:57:29Z	9c2db48cf2e8360d36b76111ab15ecf93afea9ef	2026-09-24T02:34:18Z	7	none	10 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R3	Rider	failure=6,in_progress=1,success=2	Dicklesworthstone=7	
franken_ocr	5847deef58de77150889990dfefa2e70c0bb8678	2026-09-22T04:30:16Z	f70a526004f94376e5826ddec42338a62cd36db7	2026-09-22T17:22:46Z	1	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R3	Rider	none	Dicklesworthstone=1	
franken_overlap	063182c85d3f3679ef0923a3ce780e8443c9d388	2026-09-04T05:34:15Z	063182c85d3f3679ef0923a3ce780e8443c9d388	2026-09-04T05:34:15Z	0	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C5	R1	Rider	none	-	
franken_remote	fdeb7a2ec079136e4d47a24138ce18d74b30d105	2026-09-22T15:22:17Z	bac5b5c036664a0ea26a6e235721846f8a8c7baf	2026-09-24T02:39:45Z	37	none	36 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C3	R1	Rider	none	Dicklesworthstone=28 email:[email redacted]=11	
franken_snowflake	e5f6312b2aa0fc2a74757b9eab09c6e14ccdef86	2026-09-22T13:28:48Z	e8e7c55152911a7b1060128d6ca73ed47c97dbda	2026-09-24T02:35:09Z	5	none	1 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C3 (latest #140 red; no HEAD run)	R3	Rider	none	Dicklesworthstone=5	
franken_surveillance_system	3dcc111c67979a0225edbc8f5ff30343aec33388	2026-09-22T13:15:33Z	cfc820a4d8140edd105602a370f575c11cdb3ea5	2026-09-24T02:31:20Z	611	none	2 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C6	R1	Rider	queued=1	Dicklesworthstone=246	611 ahead per compare, but 373 of them carry author dates before the pin (2026-09-12..22): a line of history made reachable after the pin, not 611 new commits in 37 h
franken_threed	72dcaa1adbad6b3d552a071cc7db31a16ee4ba9d	2026-09-22T15:10:21Z	59a7f007ff20cd191c01f73d49c062711a169900	2026-09-24T01:55:47Z	18	none	1 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C1	R1	Rider	success=1	Dicklesworthstone=18	
franken_tts	eafdf4540da7343dbd28d61b9930e8b7bfcaf0d1	2026-09-20T00:12:08Z	eafdf4540da7343dbd28d61b9930e8b7bfcaf0d1	2026-09-20T00:12:08Z	0	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C6	R3	Rider	none	-	
franken_whisper	408b7e790a7bda4cc6e47bd4b66db8bec0418658	2026-09-22T04:31:24Z	408b7e790a7bda4cc6e47bd4b66db8bec0418658	2026-09-22T04:31:24Z	0	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C4	R3	Rider	none	-	
frankenfs	49acf5d5a9b7d48d7d459e28bb5a32e8546900b6	2026-09-22T14:50:19Z	f2b99486852409551fd964d82e1a826e04370c4d	2026-09-24T02:12:01Z	38	none	6 files; +2 / -0 vs pin (4)	MIT License (with OpenAI/Anthropic Rider)	no: workflow set grew (4 -> 6) but runs at HEAD still fail, so C2 stands	C2 (main lane; Artifact Gates lane green at HEAD)	R3	Rider	failure=2,success=1	Dicklesworthstone=38	workflow files 4 -> 6; runs at HEAD include failures, C2 stands on this snapshot
frankengit	894585a35e23d31bb462de24c6691124054d9c9e	2026-09-22T14:52:00Z	3358315157178b6c487b564b835b67c5b7f71421	2026-09-24T02:39:16Z	109	none	8 files; +1 / -71 vs pin (78)	MIT License (with OpenAI/Anthropic Rider)	yes: CI cell needs a re-read (workflow files 78 -> 8; C3 was "pin verdict not legible"); no runs at HEAD at census time	C3 (78 workflows; pin verdict not legible)	R1	Rider	none	Dicklesworthstone=44 email:[email redacted]=40	
frankengraphdb	f077badcc4c6e201942e3b10cd20d09354afdc79	2026-09-22T15:29:33Z	76012f5a9a96360683bdc31d1423216ee4e72290	2026-09-24T02:41:08Z	106	none	2 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R1	Rider	none	Dicklesworthstone=75 email:[email redacted]=29	
frankenjax	3e22ef6c0ba2effaeca4295cf1d4af9695c2eabe	2026-09-21T14:05:52Z	be8e83c300aec2462c702dff9d1f9b2152cdc293	2026-09-22T17:22:55Z	1	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C4	R1	Rider	none	Dicklesworthstone=1	
frankenlibc	36e5be9448c8c26eed16f421672775aae048f936	2026-09-22T15:54:07Z	66797f7b974f2b60459f4ce115a271ce975ea318	2026-09-24T02:33:45Z	41	none	8 files; +6 / -0 vs pin (2)	MIT License (with OpenAI/Anthropic Rider)	no: workflow set grew (2 -> 8) but runs at HEAD still fail, so C2 stands	C2	R1	Rider	failure=2,success=3	Dicklesworthstone=40	workflow files 2 -> 8; runs at HEAD still include failures, so C2 stands on this snapshot
frankenmermaid	5e153c1154f18e54d04c3569e5c350804faae14e	2026-09-21T14:11:48Z	5e153c1154f18e54d04c3569e5c350804faae14e	2026-09-21T14:11:48Z	0	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: HEAD is the pin	C4 (Pages deploy only)	R3	Rider	success=1	-	
frankenpandas	ebe79a3b4ae0470402ea76f9547ae93093360b37	2026-09-22T13:13:20Z	40098384c28b6dc65c8c955f9312491834280b3a	2026-09-24T01:28:21Z	15	none	7 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R2	Rider	success=1	Dicklesworthstone=13 email:[email redacted]=1	one green run at HEAD out of 7 workflow files; not a pin verdict, C2 stands until a full run is read
frankenredis	f78f64e4eea5d0ae7848d917e40aafaef1d60ce6	2026-09-22T02:22:53Z	13a175ff361269450018047b01e5b3a297f78e2b	2026-09-22T19:19:20Z	2	none	2 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R2	Rider	failure=3	Dicklesworthstone=1	
frankenscipy	2fce54d56ee9af37ea8876a5248ce8aa0f882a22	2026-09-22T12:39:40Z	8a458de7123f4e89238168bc042fcd982c2791f6	2026-09-24T02:43:15Z	11	none	3 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C1	R3	Rider	none	email:[email redacted]=11	all 11 commits under the name BlackThrush with a non-maintainer gmail address and no linked GitHub account; looks like an agent persona, but identity is not determinable from git metadata [Inference, Low]
frankensearch	c4b5e48e5851050675b2260fb72d096404d32608	2026-09-22T14:49:20Z	290afde780334fdb01e8095fc546e1e878f7236c	2026-09-24T02:30:12Z	104	none	8 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R3	Rider	none	Dicklesworthstone=104	
frankensim	4b004dcd3efa502ef5de84cf2ed118ccdeafde02	2026-09-22T15:46:14Z	01824653087a69272d5a9c0c6ea2e2789ad05f54	2026-09-24T02:45:55Z	90	none	4 files; +1 / -0 vs pin (3)	MIT License (with OpenAI/Anthropic Rider)	no: one workflow file added; C6 rests on the private DSR/RCH lanes, which did not change	C6	R1	Rider	failure=1,skipped=3	Dicklesworthstone=90	workflow files 3 -> 4
frankensim_website	e179bafc123eb45bcd040b5a16a098b0125e4629	2026-08-21T18:46:44Z	e179bafc123eb45bcd040b5a16a098b0125e4629	2026-08-21T18:46:44Z	0	none	none (no .github/workflows at HEAD or pin)	no LICENSE file	no: HEAD is the pin	C4	R1	none	none	-	
frankensqlite	315bc0f17279b42c160f203e0d0ad53e3fa0d158	2026-09-22T14:12:06Z	3c8481ae4f35055df0932d73d471999c4e418ebc	2026-09-24T02:10:16Z	64	none	9 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R3	Rider	none	Dicklesworthstone=64	
frankensqlite_website	d21491fb6b4f157c0144d7b1272c8f090ffacd2a	2026-09-21T14:07:47Z	361cdb7a68d64878dbb1f971a7362fe0599f7638	2026-09-22T17:22:59Z	1	none	none (no .github/workflows at HEAD or pin)	no LICENSE file	no: commits only; no release, workflow-set or license change that moves a cell	C4	R1	none	none	Dicklesworthstone=2	
frankensympy	55d176b8625a2ad8d4fc995bd076e0f582098d2f	2026-09-22T05:48:53Z	4e8a799e7b1f2969c288702591516954b68953e8	2026-09-22T20:35:13Z	13	none	2 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R1	Rider	failure=1,success=1	email:[email redacted]=13	all 13 commits under BoldGorge <[email redacted]> (a local agent-harness address); read as a maintainer agent persona [Inference, Medium]
frankenterm	ce183cd1f7dd074ce187e279f6b99442256040d8	2026-09-22T06:31:53Z	ae7194aed74db9122482f0eb4c6aa2d9fcba3ac6	2026-09-24T02:42:49Z	141	v0.15.12 (tag, 2026-09-22, 2a2907a); v0.15.11 (tag, 2026-09-22, 755ecd3); v0.15.9 (tag, 2026-09-22, 062e292)	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: new tags only, no new Release object; release class already R3	C6	R3	Rider	none	Dicklesworthstone=141	three new tags after the pin (no GitHub Release objects); Rel stays R3
frankentorch	91cda6541a4402caff217f014e0535429dade9ac	2026-09-22T13:06:42Z	e037b03d159109461e33f9579a326f6103d734a6	2026-09-22T17:23:06Z	1	none	2 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C2	R1	Rider	failure=1	Dicklesworthstone=1	
frankentui	979d26c259c3ade3b3ab8b80254662f266c97dd3	2026-09-22T14:27:34Z	da28f4e52df2d5d38e5919ce309685cb0a2d613c	2026-09-23T16:35:02Z	31	none	4 files; same set as pin	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C5	R2 (phantom v0.9.0)	Rider	none	Dicklesworthstone=31	
frankentui_website	6057a6760b377ad4acf53e00668cf2924e585dfb	2026-09-22T04:27:25Z	01a86f555db827c76e2d5bb35a10c6a72af66219	2026-09-22T17:23:13Z	1	none	none (no .github/workflows at HEAD or pin)	MIT License (with OpenAI/Anthropic Rider)	no: commits only; no release, workflow-set or license change that moves a cell	C4	R1	Rider	none	Dicklesworthstone=1	
