old_commit	new_commit	subject
33a4a36abaaec3e7a38ac2a66d41e1543263b29b	120904366a08a507f1c62f03293465c3d6b24633	stack: close 4 re-check findings (quotes carry the asserted facts) [test]
de94fd49e475bcea70906457bff0c021cd9bf572	9546e4d51753cce28b9432fcfc92eda0bd003f8c	Review signed: orchestration and eval/safety verdicts [test]
f55db78feaba3fc7d7754f58f751372aec009da1	9c92cf980a148f33e3ee40ba658b66d9e6374aae	Agent stack method v3: license check for every adopted incumbent [pending]
484b88047f4381f8781d7c5b2093edf9dad93305	835611b7c5f47bdb076fa359d962419c6ad595ad	Rigor index: partial status and independent audit of adopted claims [pending]
b5eb9d807c0641b89995d90cb2395f88a70222ec	ce4186e1168269af39ece9832c9b8df568a99626	stack: license census of every Adopt incumbent (101 repos, METHOD rule 9) [live]
4f5bc86163a47d2aab7688c5158d2e5ad6dd202c	d24c92d46917b121013b9de6623651ab560b12c8	Since the pin: 44-repo movement census, franken_code_browser v0.1.0 re-check, /updates/ page [test]
f120b2d3a678e08125f9d6c2cd0c0f97686a9e34	20f4881d0de8b1c2f2976192c793ac33e54aca33	Redact commit-author emails from the movement census [test]
05de96d7f92efe66de5e4d8a8c34bf844132d6ff	45c7bc676660abba49a46e2c04dd7196eb24361d	stack/licenses.tsv: mark getzep/zep row as no longer adopted [live]
0eb448855e477a3a9d08a899a0e86bb092184c68	bfbcac9cef645f6622add2c3d3baba5b2da7309b	stack: fix 36 review findings on tools/environment and training/voice verdicts; name non-permissive licenses per METHOD rule 9 [test]
9663da8840486c12cc530319e82fb8754aeb8e18	3074f81d6b361732bb8480a572df1a39a514662f	stack: fix 35 review findings on serving and memory/retrieval verdicts, name non-permissive licenses (METHOD rule 9) [test]
d263aa89ca64bc099045cc17db0dd521d5687fa7	428d68e5d71c8f89b255e21ac811fe962d50a0b5	Review signed: tools/environment and training/voice verdicts [test]
771b8f8a4ce925ec22bca48d2e86369700d2e9ab	11659030c6ca9350bc8e7952b75b608a030c0ea5	Rigor index: apply adopted-claim audit, add partial status [test]
49760103b8ad0ee3fff3996e454ec17d1dad4316	29ef847be0d1e45ce1bc19d9658faf05f1a56b92	stack: fix N1-N4 low findings (Playwright license read, AGPL-free paths first, AGPL trigger wording, OmniParser AGPL weights); signatures removed on edited files [test]
b6a0c20a2799400a71a6b19ef538213ee4f9b7f6	fdbea1455a30214cb35684e1737b3fe7371cf5b1	Review re-signed: 4 tools verdicts after N1-N4 [test]
bced21ddfd7d3f67090f8feb5df413efb30e3dcc	785fee357a0d0eed180cd0cc17b448300e2c3f66	Review signed: serving and memory/retrieval verdicts [test]
f01fea7d2a119274a7dadfbed0d25cfdf34b810e	b9003f44e4713846319835ac50a1499c84317cb8	Gate K5 license check, K3 partial status, Gate L email scan, license chips and partial rows in the generator, Updates nav and sitemap wiring, all proven on planted copies [mutation]
9d39ece1402f49ca976f229b092e68f08e96827d	a5730828fe22972eed42886392a2202db70a2c48	Updates page names the re-check HEAD instead of a moving count [test]
eb7c6ba487b682144fbefdc778080ec0df9c8cd8	bbbfe28b2c74c4d429b02a58cea8da7ddc808299	stack/licenses.tsv: mark protectai/llm-guard row as no longer adopted [live]
d98b944d53f62efab77efe718e725d7c95ae3824	35ca868ef4104aec37082e6b35de38aef93c8c1e	stack: close 9 re-check items on serving and memory/retrieval verdicts (citations, visual_gen wording) [test]
2099b0fe58726b3a0277ca30816e0b667a28c25f	900c4657a322deb4423683f588f998893597f0d0	stack: name non-permissive licenses in observability and guardrails (METHOD rule 9); drop archived llm-guard from Adopt; signatures removed on edited files [test]
b158b5846d36dafba0a8db5fa9bb82d424df8c72	59fb66b3c27edc296300522c1eb99fa14dec8c17	Review signed: serving and memory/retrieval verdicts [test]
74d303dc83059f5220bdbecf30408f61305d6fde	e02dc1507f3f7ef7e9abe982ad3db17bf13d8c0f	Review re-signed: observability and guardrails after license edits [test]
8bff46d99b55783b638cc7b5da6f4fdae5b0bcf3	8fb3b187e442448c1477ae30aa78a14c8b6397b7	v1.1 integration: README, changelog, review records, pages regenerated with signatures [pending]
f51fc8236519d5dbba424f723593a2c53cd1d19b	892817959059f8edf251d034ca587ab2c45f2f00	Remap commit hashes after the approved history rewrite [test]
